InventoryID,ProductID,QuantityChange,ChangeType,ChangeDate
54,102,11,Purchase,2023-09-05 05:02:00
55,101,-5,Return,2023-04-04 00:50:00
56,110,-10,Damage,2023-02-18 16:12:00
57,109,5,Adjustment,2023-01-10 08:02:00
58,102,-27,Return,2024-03-22 14:03:00
59,108,-32,Return,2023-01-12 03:27:00
60,106,-3,Return,2023-06-16 21:07:00
61,107,45,Adjustment,2023-07-01 23:12:00
62,106,-43,Return,2023-08-17 01:41:00
63,106,-36,Return,2023-09-08 09:28:00
64,107,-3,Damage,2023-06-27 09:05:00
65,103,47,Adjustment,2023-04-26 00:38:00
66,107,15,Purchase,2023-08-08 01:20:00
67,105,22,Purchase,2024-02-15 18:00:00
68,107,-31,Return,2023-06-12 23:54:00
69,105,-2,Return,2023-08-19 00:44:00
70,104,7,Adjustment,2023-09-16 01:46:00
71,106,42,Adjustment,2024-03-10 20:27:00
72,106,-45,Damage,2023-07-02 22:57:00
73,102,-24,Return,2023-12-21 20:34:00
74,103,30,Adjustment,2023-06-03 04:29:00
75,108,7,Purchase,2023-11-18 12:56:00
76,102,-11,Return,2023-10-13 11:35:00
77,106,-35,Damage,2023-08-06 16:34:00
78,101,38,Purchase,2023-04-09 04:10:00
79,105,-45,Return,2023-04-21 11:22:00
80,108,-20,Return,2023-12-04 21:18:00
81,102,-34,Damage,2024-01-09 04:24:00
82,103,-8,Damage,2024-03-02 20:03:00
83,106,41,Adjustment,2023-11-20 23:33:00
84,108,-32,Damage,2023-12-14 22:46:00
85,105,48,Purchase,2023-01-14 23:38:00
86,109,21,Adjustment,2024-02-07 15:29:00
87,107,4,Adjustment,2024-03-03 16:45:00
88,107,-31,Return,2024-02-13 17:51:00
89,108,40,Purchase,2023-02-11 19:44:00
90,109,13,Adjustment,2024-03-21 10:40:00
91,107,15,Adjustment,2023-02-15 22:43:00
92,101,-44,Damage,2023-01-28 08:40:00
93,105,6,Purchase,2023-07-26 04:01:00
94,109,44,Adjustment,2023-06-28 18:46:00
95,103,-5,Damage,2023-05-10 19:14:00
96,110,10,Purchase,2023-12-05 09:18:00
97,105,17,Purchase,2023-01-07 12:51:00
98,103,43,Purchase,2023-08-17 13:10:00
99,104,-34,Return,2023-02-18 22:54:00
100,107,13,Purchase,2023-09-05 15:13:00
101,102,8,Purchase,2023-12-02 15:28:00
102,103,-10,Damage,2023-12-26 13:08:00
103,107,22,Adjustment,2023-05-03 23:50:00
104,107,-9,Damage,2023-04-02 05:28:00
105,104,20,Purchase,2023-09-20 15:36:00
106,109,-50,Damage,2023-02-27 05:53:00
107,102,44,Adjustment,2023-02-24 03:02:00
108,103,12,Adjustment,2023-11-23 22:33:00
109,102,20,Adjustment,2023-01-23 11:54:00
110,103,1,Purchase,2023-04-03 19:48:00
111,110,25,Purchase,2023-12-19 15:52:00
112,102,19,Purchase,2024-01-02 15:42:00
113,101,19,Adjustment,2023-05-20 17:19:00
114,109,39,Purchase,2023-08-28 09:33:00
115,102,-23,Return,2024-01-18 17:34:00
116,102,-20,Damage,2023-04-07 01:46:00
117,110,8,Adjustment,2023-10-18 06:22:00
118,102,-49,Return,2023-05-25 03:30:00
119,106,13,Purchase,2023-11-05 00:29:00
120,102,23,Purchase,2024-01-16 09:55:00
121,103,26,Adjustment,2023-11-26 06:39:00
122,103,-35,Return,2023-11-04 12:34:00
123,108,-38,Return,2023-10-29 00:37:00
124,107,30,Purchase,2024-01-05 08:31:00
125,101,-7,Return,2024-02-13 06:41:00
126,101,-42,Return,2023-03-25 01:04:00
127,105,-32,Damage,2024-01-18 08:23:00
128,104,44,Adjustment,2024-01-16 04:09:00
129,106,24,Adjustment,2024-03-23 03:31:00
130,109,40,Purchase,2023-05-27 14:34:00
131,107,-7,Return,2023-12-06 20:39:00
132,103,-39,Return,2023-11-19 12:06:00
133,104,19,Adjustment,2023-06-03 12:53:00
134,103,11,Purchase,2023-08-08 02:56:00
135,110,-46,Return,2023-06-03 18:42:00
136,101,-6,Damage,2023-10-02 23:06:00
137,107,6,Purchase,2023-06-25 09:57:00
138,108,-4,Return,2023-02-12 18:23:00
139,108,-33,Damage,2023-01-10 17:01:00
140,110,-39,Return,2023-03-01 17:16:00
141,101,-33,Damage,2023-07-11 00:05:00
142,102,-49,Return,2023-08-05 13:59:00
143,110,9,Purchase,2024-01-07 09:50:00
144,101,43,Purchase,2023-09-07 14:29:00
145,106,-4,Damage,2024-01-07 01:44:00
146,106,-32,Return,2024-02-27 04:52:00
147,104,9,Purchase,2023-10-31 13:44:00
148,110,32,Adjustment,2023-06-11 19:45:00
149,107,-20,Return,2023-06-29 20:55:00
150,108,-33,Damage,2023-01-08 04:55:00
151,106,11,Purchase,2023-08-13 14:22:00
152,105,-49,Damage,2023-01-08 18:52:00
153,105,-49,Damage,2023-10-04 13:42:00
154,106,30,Purchase,2023-05-16 09:42:00
155,107,12,Adjustment,2023-02-06 07:57:00
156,106,48,Purchase,2024-03-06 03:00:00
157,104,33,Adjustment,2023-03-15 01:56:00
158,110,-13,Return,2023-04-30 01:01:00
159,105,42,Adjustment,2023-09-12 16:46:00
160,102,-32,Damage,2023-11-12 01:09:00
161,107,20,Purchase,2023-05-04 18:16:00
162,106,45,Purchase,2023-12-21 16:01:00
163,104,20,Purchase,2023-08-07 06:12:00
164,104,-7,Damage,2024-02-26 15:08:00
165,109,-33,Damage,2023-11-27 14:20:00
166,108,-4,Return,2024-02-23 02:30:00
167,104,-15,Return,2023-12-23 02:11:00
168,108,28,Purchase,2023-08-18 16:38:00
169,105,10,Purchase,2023-09-14 12:31:00
170,107,50,Adjustment,2023-06-27 18:39:00
171,106,-19,Damage,2023-04-19 14:24:00
172,104,2,Adjustment,2023-11-11 12:45:00
173,103,-8,Damage,2023-10-05 07:11:00
174,106,-17,Return,2023-01-03 18:27:00
175,105,-13,Damage,2023-12-04 07:57:00
176,102,31,Purchase,2023-04-02 06:07:00
177,110,-11,Return,2023-02-17 15:48:00
178,104,-15,Damage,2023-04-06 21:01:00
179,102,-31,Damage,2023-06-09 15:02:00
180,105,-38,Damage,2023-04-10 04:41:00
181,106,-44,Damage,2023-09-01 07:43:00
182,101,14,Adjustment,2023-08-28 05:26:00
183,103,-39,Return,2023-06-20 19:28:00
184,105,-30,Damage,2023-01-27 02:53:00
185,104,38,Adjustment,2023-06-23 21:15:00
186,106,-14,Damage,2023-02-13 12:22:00
187,110,-25,Damage,2023-11-20 07:04:00
188,107,-30,Damage,2023-06-10 14:07:00
189,110,-7,Return,2023-09-14 23:12:00
190,108,2,Purchase,2023-10-19 13:28:00
191,104,2,Purchase,2024-03-26 20:50:00
192,102,-47,Return,2024-02-28 23:41:00
193,101,9,Purchase,2023-01-22 23:22:00
194,104,-25,Return,2023-07-19 20:15:00
195,110,-42,Return,2023-12-09 06:12:00
196,105,39,Adjustment,2024-02-06 15:21:00
197,101,3,Purchase,2023-03-13 15:33:00
198,104,33,Adjustment,2023-08-02 02:42:00
199,106,3,Adjustment,2024-01-11 22:41:00
200,108,-37,Return,2024-02-10 18:54:00
201,109,-38,Damage,2023-01-21 10:04:00
202,109,-32,Damage,2024-01-11 15:06:00
203,110,-21,Damage,2023-07-15 06:29:00
204,107,12,Adjustment,2023-07-06 22:56:00
205,108,-26,Damage,2023-08-07 13:35:00
206,108,-11,Return,2024-01-12 01:03:00
207,109,41,Adjustment,2024-03-26 08:06:00
208,106,8,Adjustment,2023-10-10 09:17:00
209,109,13,Adjustment,2023-02-15 21:51:00
210,102,-17,Damage,2023-09-26 21:02:00
211,109,-12,Damage,2023-03-11 19:58:00
212,101,-47,Damage,2023-08-27 06:50:00
213,102,-40,Return,2023-08-05 01:03:00
214,101,21,Adjustment,2024-02-01 16:10:00
215,107,-35,Return,2023-09-25 05:36:00
216,101,-30,Return,2023-01-14 13:50:00
217,105,47,Adjustment,2023-06-21 00:45:00
218,105,30,Purchase,2023-02-17 07:11:00
219,109,-32,Return,2023-11-17 13:21:00
220,110,46,Purchase,2023-04-11 12:36:00
221,103,-47,Damage,2023-11-28 04:17:00
222,103,36,Adjustment,2023-08-13 15:51:00
223,107,36,Adjustment,2023-10-04 10:40:00
224,101,30,Adjustment,2023-04-01 08:49:00
225,102,34,Adjustment,2024-02-05 08:18:00
226,107,4,Adjustment,2023-04-10 17:25:00
227,106,-46,Return,2024-01-13 23:58:00
228,106,37,Purchase,2023-12-27 21:24:00
229,105,49,Adjustment,2023-01-23 09:17:00
230,110,8,Adjustment,2023-07-03 08:58:00
231,104,16,Adjustment,2023-11-28 08:12:00
232,102,49,Purchase,2023-12-11 22:56:00
233,109,-22,Damage,2023-05-17 07:55:00
234,109,-8,Damage,2023-03-20 15:11:00
235,104,35,Adjustment,2023-09-21 06:59:00
236,101,39,Adjustment,2023-06-27 01:02:00
237,109,7,Adjustment,2023-11-01 20:56:00
238,110,14,Adjustment,2023-08-28 13:25:00
239,102,-42,Return,2023-07-02 15:51:00
240,110,44,Adjustment,2023-06-17 19:42:00
241,102,-10,Damage,2023-09-13 04:35:00
242,109,-15,Damage,2023-01-11 08:58:00
243,101,43,Purchase,2023-07-29 18:08:00
244,105,-6,Return,2023-06-05 20:14:00
245,104,-20,Return,2023-12-15 12:29:00
246,108,40,Purchase,2024-01-31 18:59:00
247,104,-29,Return,2023-05-28 20:19:00
248,109,-44,Damage,2023-03-25 18:44:00
249,101,-41,Damage,2023-08-20 10:38:00
250,102,25,Adjustment,2023-09-07 03:40:00
251,102,-3,Damage,2023-07-03 07:08:00
252,104,-13,Damage,2023-05-10 17:29:00
253,109,-48,Damage,2024-01-11 08:06:00
254,102,-36,Damage,2023-10-27 09:44:00
255,103,-49,Return,2023-08-01 21:43:00
256,108,-6,Return,2023-04-20 12:23:00
257,106,-12,Damage,2024-02-20 16:03:00
258,104,31,Adjustment,2023-02-28 18:17:00
259,103,18,Adjustment,2023-09-25 02:00:00
260,109,40,Adjustment,2023-02-15 04:16:00
261,106,50,Purchase,2023-03-17 10:57:00
262,101,-17,Damage,2023-11-03 00:55:00
263,108,-32,Damage,2023-08-17 22:59:00
264,104,-23,Damage,2023-07-06 19:42:00
265,105,-16,Damage,2023-05-31 11:36:00
266,104,22,Adjustment,2023-02-14 14:04:00
267,106,4,Adjustment,2023-04-24 04:38:00
268,105,38,Purchase,2023-09-24 03:28:00
269,102,37,Adjustment,2023-09-28 09:51:00
270,103,50,Adjustment,2023-04-30 14:37:00
271,104,-25,Damage,2023-05-10 07:42:00
272,107,30,Purchase,2023-01-09 05:14:00
273,105,-22,Return,2023-07-30 15:51:00
274,105,-26,Return,2023-03-17 18:04:00
275,101,35,Adjustment,2024-02-17 17:48:00
276,101,-33,Return,2023-04-11 01:10:00
277,102,35,Adjustment,2023-09-18 17:34:00
278,107,8,Adjustment,2024-02-29 03:23:00
279,105,9,Purchase,2023-08-23 21:59:00
280,108,18,Purchase,2023-10-10 22:14:00
281,107,-50,Return,2023-02-17 23:15:00
282,105,-19,Damage,2023-02-01 21:01:00
283,104,13,Purchase,2024-01-23 10:40:00
284,110,-45,Damage,2023-04-24 15:40:00
285,106,-27,Damage,2023-11-25 20:24:00
286,105,4,Purchase,2023-06-11 11:13:00
287,105,-48,Damage,2023-07-08 07:48:00
288,108,-10,Return,2023-01-04 14:36:00
289,110,-18,Damage,2024-01-25 07:01:00
290,101,5,Purchase,2024-03-23 11:38:00
291,102,5,Purchase,2023-12-09 09:01:00
292,102,5,Purchase,2023-04-21 06:53:00
293,109,33,Purchase,2023-12-31 09:03:00
294,104,2,Adjustment,2023-12-26 08:06:00
295,104,28,Adjustment,2023-01-17 19:43:00
296,110,-28,Damage,2023-02-18 13:53:00
297,105,14,Adjustment,2024-01-11 12:29:00
298,102,43,Purchase,2024-03-20 00:53:00
299,106,34,Purchase,2023-06-13 15:31:00
300,105,-29,Return,2024-01-10 22:17:00
301,101,-19,Return,2023-04-09 04:41:00
302,104,37,Adjustment,2023-02-10 01:43:00
303,107,-37,Return,2023-09-03 08:46:00
304,105,-36,Return,2024-03-07 00:56:00
305,101,44,Purchase,2024-03-15 13:41:00
306,110,-21,Damage,2023-02-19 21:32:00
307,105,-26,Damage,2023-03-03 18:57:00
308,105,-22,Damage,2023-02-06 00:53:00
309,108,-32,Damage,2023-03-15 17:05:00
310,109,-49,Return,2023-09-07 00:15:00
311,108,-34,Damage,2023-11-06 21:37:00
312,108,-26,Damage,2024-02-11 05:04:00
313,107,14,Adjustment,2023-05-19 11:25:00
314,106,6,Adjustment,2023-01-14 22:23:00
315,102,-41,Return,2023-08-16 23:46:00
316,104,3,Purchase,2023-10-19 16:02:00
317,107,44,Adjustment,2023-07-30 09:22:00
318,107,29,Adjustment,2023-10-23 15:23:00
319,110,-23,Return,2024-01-27 21:57:00
320,101,49,Adjustment,2024-02-18 00:43:00
321,104,-1,Return,2023-01-03 08:19:00
322,110,29,Purchase,2023-10-11 03:25:00
323,110,-21,Damage,2023-08-23 20:29:00
324,108,-50,Damage,2023-04-30 09:05:00
325,103,-23,Damage,2023-07-04 08:09:00
326,109,32,Adjustment,2024-02-26 09:07:00
327,101,24,Purchase,2023-12-01 20:50:00
328,108,21,Adjustment,2023-11-04 01:40:00
329,104,-6,Return,2023-09-17 18:00:00
330,102,1,Purchase,2023-04-07 10:39:00
331,108,-3,Damage,2023-01-28 06:12:00
332,104,-13,Damage,2023-02-25 11:55:00
333,108,23,Adjustment,2023-10-16 06:41:00
334,110,21,Adjustment,2024-02-29 22:02:00
335,105,10,Adjustment,2024-01-22 13:08:00
336,108,-37,Return,2023-12-01 23:50:00
337,108,-12,Return,2023-12-24 04:43:00
338,105,40,Purchase,2023-07-10 11:11:00
339,105,-35,Damage,2024-01-19 01:27:00
340,107,-27,Return,2023-06-10 13:38:00
341,108,-45,Return,2023-08-12 17:53:00
342,101,-46,Return,2024-01-08 07:30:00
343,107,-50,Return,2023-02-02 18:45:00
344,105,-29,Damage,2024-01-22 13:58:00
345,103,-15,Damage,2024-01-12 16:05:00
346,104,15,Purchase,2023-09-22 22:26:00
347,107,-48,Damage,2023-05-02 20:34:00
348,108,-25,Damage,2024-01-17 22:30:00
349,104,27,Purchase,2023-01-08 14:56:00
350,101,-24,Damage,2023-02-01 21:35:00
351,103,44,Purchase,2023-04-06 16:53:00
352,105,10,Adjustment,2023-02-27 22:58:00
353,102,30,Purchase,2023-02-16 13:39:00
354,105,-14,Return,2023-01-04 03:14:00
355,105,11,Purchase,2023-03-20 06:32:00
356,109,23,Purchase,2023-06-28 09:28:00
357,102,31,Purchase,2024-01-03 20:30:00
358,103,10,Adjustment,2024-03-22 01:35:00
359,102,-35,Damage,2023-12-19 00:55:00
360,108,-21,Damage,2023-06-12 17:53:00
361,108,-37,Return,2023-02-19 05:20:00
362,103,10,Purchase,2023-11-05 06:16:00
363,103,-48,Return,2024-02-09 05:10:00
364,110,49,Purchase,2023-03-01 20:32:00
365,109,-31,Return,2024-03-05 06:25:00
366,103,23,Purchase,2023-08-07 15:51:00
367,104,50,Purchase,2023-01-16 14:01:00
368,108,30,Adjustment,2023-02-20 04:21:00
369,109,-16,Return,2024-01-22 23:58:00
370,107,30,Adjustment,2023-12-15 17:26:00
371,106,-36,Damage,2024-03-26 18:56:00
372,107,33,Adjustment,2023-04-01 07:15:00
373,109,-19,Damage,2023-11-14 03:23:00
374,101,20,Adjustment,2023-03-31 01:50:00
375,106,45,Adjustment,2023-08-15 05:40:00
376,104,-28,Damage,2024-02-05 11:16:00
377,110,-42,Damage,2024-01-22 06:27:00
378,110,36,Purchase,2023-11-13 10:12:00
379,101,44,Purchase,2023-01-03 07:09:00
380,106,36,Adjustment,2023-09-19 20:36:00
381,110,44,Purchase,2023-09-23 05:43:00
382,101,13,Purchase,2023-05-08 16:10:00
383,102,-4,Return,2023-07-04 20:15:00
384,108,18,Adjustment,2023-04-08 01:38:00
385,109,5,Adjustment,2023-10-12 18:16:00
386,105,46,Purchase,2023-08-23 14:14:00
387,105,46,Purchase,2023-03-13 14:12:00
388,103,2,Purchase,2023-12-14 02:08:00
389,101,2,Purchase,2023-07-15 12:44:00
390,105,-39,Return,2023-12-14 08:43:00
391,103,-2,Return,2023-06-15 12:44:00
392,105,-24,Return,2023-11-27 18:47:00
393,105,6,Purchase,2023-06-12 11:18:00
394,104,-29,Damage,2023-12-14 07:42:00
395,101,32,Purchase,2023-12-06 03:50:00
396,109,-13,Damage,2024-01-16 22:44:00
397,103,-45,Damage,2023-09-17 09:22:00
398,108,-27,Return,2023-04-21 19:35:00
399,104,16,Adjustment,2023-12-11 01:45:00
400,104,36,Purchase,2023-05-27 17:59:00
401,105,-19,Return,2023-02-01 16:19:00
402,105,24,Adjustment,2023-08-11 21:46:00
403,105,13,Adjustment,2023-12-27 16:12:00
404,103,45,Purchase,2023-07-04 14:27:00
405,104,-10,Damage,2023-10-06 10:47:00
406,104,38,Purchase,2024-01-07 14:42:00
407,110,30,Adjustment,2023-12-10 01:43:00
408,110,-14,Return,2024-01-31 03:39:00
409,104,-41,Return,2024-02-12 01:38:00
410,106,-13,Return,2023-08-18 13:53:00
411,107,-30,Return,2023-12-25 04:43:00
412,105,27,Adjustment,2023-05-16 11:44:00
413,106,20,Adjustment,2024-02-21 20:06:00
414,103,32,Adjustment,2023-01-06 08:49:00
415,108,6,Purchase,2023-10-05 22:48:00
416,110,-5,Return,2023-09-14 01:53:00
417,109,-18,Return,2024-02-12 16:29:00
418,104,-5,Return,2023-04-15 04:06:00
419,109,49,Purchase,2023-10-08 15:39:00
420,105,-31,Return,2024-01-19 10:21:00
421,104,40,Purchase,2023-11-28 20:00:00
422,108,21,Adjustment,2023-05-22 14:56:00
423,110,9,Purchase,2023-06-13 19:32:00
424,104,-50,Return,2024-03-23 14:10:00
425,109,26,Adjustment,2024-01-07 09:12:00
426,106,44,Purchase,2023-06-04 06:28:00
427,107,48,Adjustment,2023-01-18 02:20:00
428,107,-24,Damage,2023-05-01 01:03:00
429,105,45,Purchase,2023-11-26 19:01:00
430,106,36,Adjustment,2023-04-17 22:08:00
431,101,20,Adjustment,2023-05-04 23:53:00
432,103,41,Purchase,2023-12-29 17:45:00
433,104,-4,Return,2023-09-08 00:05:00
434,108,-11,Return,2023-08-29 18:54:00
435,107,21,Adjustment,2023-02-05 04:53:00
436,102,44,Purchase,2023-08-13 16:14:00
437,106,18,Adjustment,2024-01-27 13:51:00
438,103,41,Purchase,2023-12-04 19:01:00
439,101,-7,Damage,2024-03-13 14:59:00
440,110,-14,Return,2023-09-16 17:05:00
441,104,-6,Return,2023-07-02 05:07:00
442,102,-28,Damage,2023-01-26 21:13:00
443,106,-10,Damage,2024-02-09 18:05:00
444,108,37,Adjustment,2023-08-03 16:44:00
445,102,47,Purchase,2024-02-16 21:26:00
446,110,18,Purchase,2023-09-25 08:54:00
447,103,-40,Damage,2023-07-22 04:16:00
448,108,-23,Damage,2023-12-07 12:06:00
449,102,-45,Damage,2023-07-25 18:05:00
450,103,10,Adjustment,2023-07-31 04:46:00
451,107,16,Purchase,2023-09-10 21:09:00
452,110,42,Adjustment,2023-05-15 17:16:00
453,105,-16,Damage,2023-02-18 07:47:00
454,109,-34,Damage,2024-02-15 21:27:00
455,104,48,Adjustment,2023-08-22 17:57:00
456,108,39,Adjustment,2024-03-15 05:04:00
457,110,-17,Damage,2023-10-27 15:37:00
458,109,-43,Damage,2023-07-11 09:28:00
459,102,-44,Return,2023-10-27 06:28:00
460,109,48,Purchase,2023-12-06 10:18:00
461,106,34,Adjustment,2023-05-02 19:03:00
462,108,28,Purchase,2023-01-15 04:27:00
463,102,37,Purchase,2023-01-21 12:14:00
464,104,34,Adjustment,2023-03-30 05:26:00
465,101,38,Purchase,2023-10-12 20:05:00
466,110,20,Purchase,2023-01-08 15:44:00
467,101,-40,Damage,2023-07-23 08:03:00
468,103,17,Purchase,2023-10-30 21:16:00
469,104,-24,Damage,2023-08-11 21:56:00
470,109,-6,Damage,2024-01-22 11:53:00
471,101,46,Adjustment,2023-03-31 18:59:00
472,109,9,Adjustment,2023-06-20 20:16:00
473,103,-23,Damage,2023-02-25 18:05:00
474,101,-15,Return,2023-01-06 23:45:00
475,108,-11,Damage,2023-08-27 03:08:00
476,106,-16,Return,2023-03-01 11:02:00
477,102,-47,Return,2023-12-05 02:05:00
478,108,-42,Damage,2023-11-13 04:26:00
479,105,19,Adjustment,2024-02-18 09:54:00
480,106,18,Adjustment,2023-07-16 19:48:00
481,103,-23,Return,2023-11-07 09:03:00
482,105,-30,Return,2023-12-12 08:33:00
483,102,5,Purchase,2023-10-04 15:03:00
484,110,12,Adjustment,2023-07-23 06:18:00
485,107,36,Adjustment,2023-01-31 18:05:00
486,106,21,Adjustment,2023-12-18 21:43:00
487,104,-1,Damage,2023-02-17 05:24:00
488,109,36,Adjustment,2023-04-03 08:25:00
489,105,21,Purchase,2023-10-30 00:29:00
490,110,45,Purchase,2024-01-19 12:52:00
491,108,23,Purchase,2023-07-07 10:22:00
492,110,-50,Return,2023-12-06 08:04:00
493,105,-23,Return,2023-12-21 16:10:00
494,104,22,Adjustment,2024-02-16 23:15:00
495,106,13,Purchase,2023-02-12 15:47:00
496,107,-39,Return,2023-12-16 21:57:00
497,102,-25,Damage,2023-04-02 23:21:00
498,105,-8,Return,2023-11-25 20:10:00
499,103,8,Purchase,2023-12-16 07:41:00
500,107,41,Adjustment,2023-03-13 09:47:00
501,101,27,Adjustment,2023-01-09 19:45:00
502,104,5,Purchase,2023-06-20 23:31:00
503,104,17,Adjustment,2023-10-04 08:59:00
504,101,14,Adjustment,2023-05-08 20:17:00
505,106,3,Purchase,2023-12-30 04:20:00
506,106,3,Adjustment,2023-10-29 21:53:00
507,106,39,Purchase,2023-01-11 23:38:00
508,108,-18,Return,2024-01-06 06:40:00
509,105,16,Adjustment,2023-08-21 18:57:00
510,102,20,Adjustment,2023-01-09 16:14:00
511,105,-4,Return,2023-04-13 19:22:00
512,104,-10,Damage,2023-12-26 19:31:00
513,102,-38,Return,2024-01-24 17:41:00
514,104,-23,Damage,2023-12-29 13:08:00
515,101,26,Purchase,2023-03-21 22:58:00
516,101,-23,Return,2023-05-01 23:59:00
517,110,-44,Damage,2024-01-22 01:14:00
518,103,7,Adjustment,2023-08-25 05:09:00
519,107,-24,Return,2023-03-05 08:22:00
520,105,21,Purchase,2023-08-13 03:35:00
521,110,-14,Damage,2023-03-13 05:13:00
522,102,20,Purchase,2023-03-12 00:28:00
523,107,-35,Damage,2023-12-31 15:26:00
524,109,4,Adjustment,2023-01-20 16:56:00
525,103,44,Adjustment,2024-02-04 20:27:00
526,103,15,Adjustment,2023-03-27 10:32:00
527,110,-27,Damage,2023-06-08 18:36:00
528,110,34,Adjustment,2023-04-23 13:09:00
529,108,11,Purchase,2023-06-01 11:54:00
530,102,14,Purchase,2023-06-15 19:50:00
531,107,49,Purchase,2023-02-10 11:28:00
532,108,-10,Damage,2023-02-05 21:56:00
533,106,34,Adjustment,2023-09-15 14:01:00
534,110,-2,Return,2023-05-03 19:22:00
535,102,32,Purchase,2023-11-04 03:46:00
536,106,19,Purchase,2023-09-10 20:39:00
537,102,12,Adjustment,2023-07-26 07:43:00
538,102,31,Adjustment,2023-12-11 03:37:00
539,110,31,Adjustment,2023-05-04 15:38:00
540,106,30,Adjustment,2023-12-04 03:21:00
541,106,-17,Damage,2023-07-17 22:37:00
542,104,16,Adjustment,2023-11-08 00:29:00
543,110,-27,Damage,2023-10-10 15:19:00
544,103,20,Purchase,2024-02-20 22:58:00
545,103,-12,Damage,2023-02-11 15:56:00
546,101,12,Adjustment,2023-09-18 02:32:00
547,101,50,Purchase,2023-07-19 18:39:00
548,105,33,Adjustment,2023-08-18 04:11:00
549,106,15,Adjustment,2024-02-07 08:51:00
550,109,-49,Return,2023-03-21 08:55:00
551,106,-14,Damage,2023-10-05 11:11:00
552,108,-15,Return,2023-05-05 19:12:00
553,104,40,Purchase,2023-12-15 20:08:00
554,110,31,Adjustment,2023-03-26 09:07:00
555,108,-33,Return,2024-03-05 20:06:00
556,110,-40,Return,2023-10-31 21:11:00
557,103,-6,Return,2023-01-02 12:44:00
558,107,-25,Damage,2024-01-09 20:38:00
559,102,-9,Return,2023-02-17 22:57:00
560,105,31,Adjustment,2023-09-03 12:45:00
561,109,21,Adjustment,2023-04-20 12:41:00
562,110,-40,Damage,2023-12-19 04:48:00
563,110,-9,Return,2023-12-16 04:40:00
564,108,-36,Damage,2024-02-21 07:22:00
565,109,31,Purchase,2024-02-14 23:55:00
566,104,-26,Damage,2024-03-06 02:06:00
567,110,-40,Damage,2023-03-22 01:24:00
568,107,20,Purchase,2023-10-29 19:04:00
569,109,37,Purchase,2023-10-19 09:53:00
570,108,37,Adjustment,2024-02-27 09:54:00
571,110,-37,Damage,2023-01-02 11:19:00
572,107,-12,Damage,2023-10-30 16:35:00
573,104,-22,Damage,2024-03-23 19:23:00
574,102,36,Purchase,2024-01-03 19:28:00
575,106,-46,Return,2023-12-18 10:29:00
576,110,46,Purchase,2023-08-19 21:01:00
577,104,-21,Damage,2023-04-20 01:53:00
578,103,13,Purchase,2023-05-15 13:19:00
579,102,7,Purchase,2024-01-05 04:02:00
580,105,-25,Damage,2024-01-06 22:14:00
