ASIN,RetailerId,CurrencyId,ProductId,PaymentTypeId,CustomerId,StatusId,GiftId,Order ID,Order Date,Purchase Order Number,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal Tax,Quantity,Ship Date,Item Serial Number,SalesPerson Id
B003762,1,1,2,3,1,5,null,ORD-000025,2025-03-26,PO-00025,385.09,38.51,9.32,68.62,1774.9,192.55,5,2025-03-13,null,SP-018
B009466,1,1,1,3,1,7,null,ORD-000026,2025-03-13,PO-00026,209.87,20.99,16.36,35.96,584.7,62.97,3,2025-03-24,null,SP-006
B007798,1,1,2,2,1,5,null,ORD-000027,2025-03-23,PO-00027,480.22,48.02,17.71,30.73,4477.59,432.18,9,2025-03-15,null,SP-021
B007765,1,1,2,1,1,1,null,ORD-000028,2025-03-05,PO-00028,73.48,7.35,5.61,5.66,225.51,22.05,3,2025-03-17,null,SP-022
B007444,1,1,1,2,1,9,null,ORD-000029,2025-03-09,PO-00029,390.82,39.08,16.66,60.59,369.31,39.08,1,2025-03-05,null,SP-011
B008528,1,1,2,1,1,6,null,ORD-000030,2025-03-09,PO-00030,23.57,2.36,6.78,2.16,71.31,7.08,3,2025-03-23,null,SP-005
B003355,1,1,1,2,1,7,null,ORD-000031,2025-03-10,PO-00031,171.43,17.14,18.28,12.93,702.56,68.56,4,2025-03-18,null,SP-004
B009805,1,1,1,2,1,3,null,ORD-000032,2025-03-20,PO-00032,182.42,18.24,11.82,16.07,1292.13,127.68,7,2025-03-01,null,SP-033
B001408,1,1,2,2,1,5,null,ORD-000033,2025-03-11,PO-00033,237.27,23.73,15.38,40.79,1541.47,166.11,7,2025-03-13,null,SP-015
B001635,1,1,2,2,1,5,null,ORD-000034,2025-03-27,PO-00034,91.55,9.15,19.54,2.12,492.9,45.75,5,2025-03-28,null,SP-020
B001500,1,1,2,1,1,4,null,ORD-000035,2025-03-17,PO-00035,372.67,37.27,10.69,72.25,2363.83,260.89,7,2025-03-11,null,SP-003
B005730,1,1,3,2,1,8,null,ORD-000036,2025-03-02,PO-00036,247.7,24.77,8.04,43.02,2065.05,222.93,9,2025-03-05,null,SP-003
B002841,1,1,2,1,1,3,null,ORD-000037,2025-03-17,PO-00037,454.03,45.4,17.69,46.38,4077.45,408.6,9,2025-03-16,null,SP-028
B007030,1,1,2,2,1,9,null,ORD-000038,2025-03-15,PO-00038,345.3,34.53,5.23,47.81,664.04,69.06,2,2025-03-23,null,SP-037
B003849,1,1,3,1,1,7,null,ORD-000039,2025-03-09,PO-00039,56.31,5.63,9.57,10.4,309.24,33.78,6,2025-03-18,null,SP-005
B005619,1,1,3,2,1,4,null,ORD-000040,2025-03-08,PO-00040,301.67,30.17,8.02,11.36,2243.36,211.19,7,2025-03-04,null,SP-025
B002097,1,1,1,1,1,2,null,ORD-000041,2025-03-19,PO-00041,172.56,17.26,11.11,24.26,496.68,51.78,3,2025-03-02,null,SP-007
B003232,1,1,3,3,1,6,null,ORD-000042,2025-03-10,PO-00042,377.43,37.74,13.15,70,3106.53,339.66,9,2025-03-23,null,SP-029
B008941,1,1,1,2,1,4,null,ORD-000043,2025-03-28,PO-00043,353.95,35.4,10.77,50.2,678.3,70.8,2,2025-03-05,null,SP-022
B001064,1,1,2,1,1,6,null,ORD-000044,2025-03-04,PO-00044,394.25,39.43,17.59,1.47,3457.68,315.44,8,2025-03-23,null,SP-015
B008686,1,1,3,2,1,2,null,ORD-000045,2025-03-11,PO-00045,432.66,43.27,14.85,47.9,2140.15,216.35,5,2025-03-26,null,SP-032
B002586,1,1,3,1,1,5,null,ORD-000046,2025-03-25,PO-00046,393.51,39.35,6.65,56.38,3388.32,354.15,9,2025-03-24,null,SP-023
B003516,1,1,2,3,1,6,null,ORD-000047,2025-03-03,PO-00047,427.99,42.8,8.1,71.32,1198.41,128.4,3,2025-03-20,null,SP-013
B009594,1,1,3,1,1,9,null,ORD-000048,2025-03-10,PO-00048,74.53,7.45,6.46,10.87,426.66,44.7,6,2025-03-03,null,SP-026
B002429,1,1,1,3,1,5,null,ORD-000049,2025-03-25,PO-00049,101.57,10.16,7.15,6.55,841.44,81.28,8,2025-03-03,null,SP-026
B005815,1,1,2,1,1,5,null,ORD-000050,2025-03-13,PO-00050,205.1,20.51,5.87,34.71,763.6,82.04,4,2025-03-01,null,SP-009
B005945,1,1,1,2,1,7,null,ORD-000051,2025-03-15,PO-00051,242.18,24.22,5.33,8.88,1030.08,96.88,4,2025-03-03,null,SP-005
B005247,1,1,3,3,1,3,null,ORD-000052,2025-03-01,PO-00052,449.02,44.9,19.31,67.02,3415.2,359.2,8,2025-03-06,null,SP-034
B005030,1,1,2,3,1,4,null,ORD-000053,2025-03-17,PO-00053,148.23,14.82,17.78,1.73,161.32,14.82,1,2025-03-11,null,SP-024
B008526,1,1,1,1,1,7,null,ORD-000054,2025-03-08,PO-00054,457.58,45.76,12.58,20.63,2413.55,228.8,5,2025-03-14,null,SP-017
B002832,1,1,3,3,1,2,null,ORD-000055,2025-03-17,PO-00055,377.75,37.77,8.3,19.14,396.38,37.77,1,2025-03-22,null,SP-017
B001917,1,1,1,1,1,3,null,ORD-000056,2025-03-06,PO-00056,23.83,2.38,18.36,3.16,115.25,11.9,5,2025-03-03,null,SP-012
B003766,1,1,2,1,1,6,null,ORD-000057,2025-03-11,PO-00057,496.66,49.67,17.82,97.82,4485.1,496.7,10,2025-03-03,null,SP-036
B005101,1,1,1,2,1,4,null,ORD-000058,2025-03-10,PO-00058,72.87,7.29,15.59,4.13,228.09,21.87,3,2025-03-08,null,SP-016
B002154,1,1,1,3,1,5,null,ORD-000059,2025-03-09,PO-00059,132.64,13.26,10.32,18.87,508.12,53.04,4,2025-03-12,null,SP-028
B005833,1,1,1,2,1,2,null,ORD-000060,2025-03-27,PO-00060,205.95,20.59,6.17,7.23,1096.55,102.95,5,2025-03-20,null,SP-008
B006085,1,1,3,3,1,3,null,ORD-000061,2025-03-14,PO-00061,16.62,1.66,7.8,1.53,167.5,16.6,10,2025-03-06,null,SP-020
B007492,1,1,1,2,1,8,null,ORD-000062,2025-03-01,PO-00062,65.23,6.52,15.17,2.56,553.52,52.16,8,2025-03-15,null,SP-020
B003337,1,1,2,2,1,6,null,ORD-000063,2025-03-24,PO-00063,462.09,46.21,17.76,27.22,2886.48,277.26,6,2025-03-28,null,SP-013
B006527,1,1,2,3,1,9,null,ORD-000064,2025-03-18,PO-00064,162.75,16.28,14.92,9.91,338.24,32.56,2,2025-03-22,null,SP-019
B005714,1,1,2,1,1,9,null,ORD-000065,2025-03-04,PO-00065,80.44,8.04,14.87,2.26,689.76,64.32,8,2025-03-22,null,SP-018
B003583,1,1,3,3,1,8,null,ORD-000066,2025-03-27,PO-00066,94.52,9.45,12.78,18.59,341.52,37.8,4,2025-03-01,null,SP-036
B001004,1,1,1,1,1,1,null,ORD-000067,2025-03-03,PO-00067,325.16,32.52,6.12,24.8,1997.28,195.12,6,2025-03-11,null,SP-039
B005494,1,1,1,3,1,5,null,ORD-000068,2025-03-11,PO-00068,347.42,34.74,15.36,0.02,2292.84,208.44,6,2025-03-07,null,SP-011
B001305,1,1,2,3,1,6,null,ORD-000069,2025-03-22,PO-00069,257.17,25.72,15.98,41.38,724.53,77.16,3,2025-03-14,null,SP-005
B005623,1,1,1,3,1,7,null,ORD-000070,2025-03-06,PO-00070,414.74,41.47,7.76,56.32,1999.45,207.35,5,2025-03-08,null,SP-011
B003587,1,1,2,2,1,7,null,ORD-000071,2025-03-24,PO-00071,80.14,8.01,11.32,9.94,703.89,72.09,9,2025-03-23,null,SP-029
B003224,1,1,3,3,1,4,null,ORD-000072,2025-03-13,PO-00072,404.42,40.44,6.59,71.93,3729.3,404.4,10,2025-03-21,null,SP-038
B009353,1,1,1,1,1,8,null,ORD-000073,2025-03-20,PO-00073,121.49,12.15,14.83,21.85,1117.9,121.5,10,2025-03-05,null,SP-006
B009843,1,1,3,2,1,6,null,ORD-000074,2025-03-01,PO-00074,67.11,6.71,11.38,5.85,679.7,67.1,10,2025-03-14,null,SP-006
B009910,1,1,3,3,1,7,null,ORD-000075,2025-03-18,PO-00075,298.19,29.82,11.7,54.1,1917.37,208.74,7,2025-03-15,null,SP-029
B007689,1,1,1,3,1,6,null,ORD-000076,2025-03-24,PO-00076,423.15,42.31,5.94,9.52,4559.4,423.1,10,2025-03-05,null,SP-039
B008309,1,1,3,1,1,9,null,ORD-000077,2025-03-15,PO-00077,112.45,11.25,13.06,7.49,1045.89,101.25,9,2025-03-16,null,SP-026
B003505,1,1,3,2,1,2,null,ORD-000078,2025-03-09,PO-00078,150.63,15.06,13.94,13.85,455.52,45.18,3,2025-03-27,null,SP-008
B002008,1,1,3,1,1,9,null,ORD-000079,2025-03-08,PO-00079,268.04,26.8,17.83,41.39,2534.5,268,10,2025-03-01,null,SP-028
B003125,1,1,3,2,1,5,null,ORD-000080,2025-03-15,PO-00080,336.58,33.66,17.92,66.75,2427.92,269.28,8,2025-03-14,null,SP-033
B003451,1,1,2,3,1,5,null,ORD-000081,2025-03-06,PO-00081,80.74,8.07,9.31,7.02,490.74,48.42,6,2025-03-05,null,SP-028
B003299,1,1,3,3,1,1,null,ORD-000082,2025-03-24,PO-00082,386.82,38.68,14.21,7.18,2091.6,193.4,5,2025-03-20,null,SP-013
B001701,1,1,1,2,1,7,null,ORD-000083,2025-03-17,PO-00083,489.09,48.91,19.6,84.07,3177.51,342.37,7,2025-03-13,null,SP-037
B004623,1,1,3,2,1,5,null,ORD-000084,2025-03-21,PO-00084,123.26,12.33,5.56,20.54,575.25,61.65,5,2025-03-15,null,SP-038
B003324,1,1,1,2,1,6,null,ORD-000085,2025-03-20,PO-00085,478.51,47.85,10.21,79.41,2234.75,239.25,5,2025-03-13,null,SP-008
B009913,1,1,3,1,1,7,null,ORD-000086,2025-03-09,PO-00086,407.3,40.73,20,71.32,1130.13,122.19,3,2025-03-22,null,SP-006
B009344,1,1,1,1,1,9,null,ORD-000087,2025-03-01,PO-00087,179.82,17.98,17.98,29.9,503.7,53.94,3,2025-03-03,null,SP-037
B009003,1,1,2,3,1,4,null,ORD-000088,2025-03-03,PO-00088,274.16,27.42,7.24,36.9,1852.76,191.94,7,2025-03-19,null,SP-023
B004714,1,1,1,2,1,3,null,ORD-000089,2025-03-03,PO-00089,410.62,41.06,12.02,13.83,1751.4,164.24,4,2025-03-19,null,SP-007
B004744,1,1,2,2,1,5,null,ORD-000090,2025-03-25,PO-00090,236.57,23.66,8.58,6.04,1525.14,141.96,6,2025-03-09,null,SP-008
B005450,1,1,1,2,1,2,null,ORD-000091,2025-03-12,PO-00091,398.27,39.83,5.85,69.79,2946.48,318.64,8,2025-03-09,null,SP-015
B003821,1,1,3,1,1,8,null,ORD-000092,2025-03-07,PO-00092,401.5,40.15,14.01,58.59,766.12,80.3,2,2025-03-08,null,SP-004
B003060,1,1,3,3,1,5,null,ORD-000093,2025-03-28,PO-00093,499.26,49.93,18.95,78.35,4237.56,449.37,9,2025-03-14,null,SP-029
B005587,1,1,2,2,1,7,null,ORD-000094,2025-03-23,PO-00094,392.28,39.23,12.52,33.53,3581.82,353.07,9,2025-03-14,null,SP-027
B001870,1,1,1,1,1,5,null,ORD-000095,2025-03-27,PO-00095,110.22,11.02,11.31,4.52,1050.48,99.18,9,2025-03-09,null,SP-002
B004536,1,1,1,2,1,4,null,ORD-000096,2025-03-19,PO-00096,327.96,32.8,12.53,53.61,2150.05,229.6,7,2025-03-25,null,SP-006
B005925,1,1,3,3,1,3,null,ORD-000097,2025-03-10,PO-00097,361.33,36.13,13.01,22.82,1498.56,144.52,4,2025-03-14,null,SP-016
B004098,1,1,3,2,1,7,null,ORD-000098,2025-03-23,PO-00098,277.71,27.77,6.66,25.72,2238.08,222.16,8,2025-03-06,null,SP-025
B004444,1,1,2,1,1,7,null,ORD-000099,2025-03-24,PO-00099,446.07,44.61,12.53,8.96,3853.76,356.88,8,2025-03-11,null,SP-007
B009706,1,1,3,3,1,3,null,ORD-000100,2025-03-14,PO-00100,157.55,15.76,14.37,15.94,1573.7,157.6,10,2025-03-03,null,SP-025
B007423,1,1,1,3,1,6,null,ORD-000101,2025-03-05,PO-00101,367.81,36.78,12.83,13.55,1564.16,147.12,4,2025-03-17,null,SP-033
B009003,1,1,3,3,1,3,null,ORD-000102,2025-03-24,PO-00102,295.44,29.54,5.79,30.3,884.04,88.62,3,2025-03-12,null,SP-003
B009044,1,1,1,2,1,5,null,ORD-000103,2025-03-05,PO-00103,217.39,21.74,15.86,22.35,433.56,43.48,2,2025-03-10,null,SP-022
B003899,1,1,3,2,1,3,null,ORD-000104,2025-03-19,PO-00104,451.52,45.15,16.76,48.48,1344.57,135.45,3,2025-03-04,null,SP-040
B009592,1,1,2,2,1,5,null,ORD-000105,2025-03-04,PO-00105,378.11,37.81,9.93,38.45,3397.23,340.29,9,2025-03-11,null,SP-033
B003281,1,1,2,1,1,1,null,ORD-000106,2025-03-12,PO-00106,110.09,11.01,14.67,21.41,398.76,44.04,4,2025-03-02,null,SP-020
B008863,1,1,1,3,1,6,null,ORD-000107,2025-03-19,PO-00107,231.64,23.16,6.11,10.21,244.59,23.16,1,2025-03-27,null,SP-028
B005927,1,1,3,3,1,9,null,ORD-000108,2025-03-03,PO-00108,498.74,49.87,18.87,19.13,5294.8,498.7,10,2025-03-08,null,SP-008
B001149,1,1,3,1,1,6,null,ORD-000109,2025-03-23,PO-00109,159.76,15.98,7.28,4.45,513.87,47.94,3,2025-03-15,null,SP-007
B006648,1,1,3,1,1,4,null,ORD-000110,2025-03-07,PO-00110,134.8,13.48,5.33,5.08,859.2,80.88,6,2025-03-08,null,SP-028
B009344,1,1,1,3,1,8,null,ORD-000111,2025-03-01,PO-00111,255.71,25.57,14.79,16.6,2117.44,204.56,8,2025-03-16,null,SP-038
B007549,1,1,2,1,1,5,null,ORD-000112,2025-03-01,PO-00112,466.71,46.67,12.37,13.01,5003.7,466.7,10,2025-03-17,null,SP-037
B001552,1,1,2,1,1,8,null,ORD-000113,2025-03-18,PO-00113,406.53,40.65,10.34,27.13,3360.4,325.2,8,2025-03-10,null,SP-023
B002403,1,1,2,3,1,3,null,ORD-000114,2025-03-05,PO-00114,203.7,20.37,5.45,5.6,218.47,20.37,1,2025-03-01,null,SP-025
B004192,1,1,2,1,1,4,null,ORD-000115,2025-03-03,PO-00115,417.4,41.74,19.25,82.23,1507.64,166.96,4,2025-03-14,null,SP-036
B008071,1,1,3,1,1,6,null,ORD-000116,2025-03-24,PO-00116,240.45,24.05,16.21,35.1,1147,120.25,5,2025-03-19,null,SP-022
B005926,1,1,3,3,1,1,null,ORD-000117,2025-03-28,PO-00117,294.46,29.45,8.45,4.24,2237.69,206.15,7,2025-03-02,null,SP-010
B008812,1,1,1,3,1,2,null,ORD-000118,2025-03-02,PO-00118,162.85,16.29,6.83,14.91,656.92,65.16,4,2025-03-13,null,SP-001
B005766,1,1,1,2,1,9,null,ORD-000119,2025-03-04,PO-00119,62.97,6.3,9.79,1.47,135.6,12.6,2,2025-03-25,null,SP-036
B003280,1,1,2,3,1,4,null,ORD-000120,2025-03-27,PO-00120,315.74,31.57,12.5,45.65,2714.94,284.13,9,2025-03-20,null,SP-009
B006458,1,1,1,3,1,9,null,ORD-000121,2025-03-10,PO-00121,249.89,24.99,19.98,49.21,2031.03,224.91,9,2025-03-16,null,SP-033
B004998,1,1,1,3,1,3,null,ORD-000122,2025-03-04,PO-00122,475.99,47.6,10.94,42.07,481.52,47.6,1,2025-03-19,null,SP-017
B001624,1,1,1,1,1,3,null,ORD-000123,2025-03-09,PO-00123,424.37,42.44,6.12,84.8,764.02,84.88,2,2025-03-19,null,SP-017
B007026,1,1,3,3,1,4,null,ORD-000124,2025-03-02,PO-00124,249.48,24.95,5.92,15.2,777.69,74.85,3,2025-03-06,null,SP-013
B005754,1,1,2,1,1,5,null,ORD-000125,2025-03-19,PO-00125,64.98,6.5,14.52,11.42,180.18,19.5,3,2025-03-27,null,SP-024
B004068,1,1,2,3,1,4,null,ORD-000126,2025-03-26,PO-00126,17.87,1.79,9.63,0.1,136.92,12.53,7,2025-03-27,null,SP-005
B005614,1,1,1,2,1,5,null,ORD-000127,2025-03-05,PO-00127,383.88,38.39,11,62.95,3593.2,383.9,10,2025-03-07,null,SP-026
B001557,1,1,3,2,1,8,null,ORD-000128,2025-03-09,PO-00128,27.49,2.75,12.63,0.97,263.43,24.75,9,2025-03-25,null,SP-014
B002768,1,1,1,2,1,5,null,ORD-000129,2025-03-12,PO-00129,89.09,8.91,11.72,4.47,467.65,44.55,5,2025-03-26,null,SP-012
B007060,1,1,2,2,1,5,null,ORD-000130,2025-03-03,PO-00130,394.72,39.47,15.43,71.98,2897.68,315.76,8,2025-03-19,null,SP-029
B001545,1,1,3,3,1,1,null,ORD-000131,2025-03-23,PO-00131,28.7,2.87,15.1,4.35,163.32,17.22,6,2025-03-18,null,SP-015
B006774,1,1,3,2,1,9,null,ORD-000132,2025-03-17,PO-00132,29.79,2.98,9.71,4.97,83.4,8.94,3,2025-03-19,null,SP-034
B005787,1,1,2,1,1,6,null,ORD-000133,2025-03-10,PO-00133,241.48,24.15,12.82,3.45,1310.9,120.75,5,2025-03-13,null,SP-031
B003653,1,1,1,2,1,8,null,ORD-000134,2025-03-04,PO-00134,140.73,14.07,10.89,4.79,1050.07,98.49,7,2025-03-05,null,SP-040
B009903,1,1,1,3,1,1,null,ORD-000135,2025-03-11,PO-00135,482.86,48.29,10.32,81.12,4500.3,482.9,10,2025-03-04,null,SP-035
B004267,1,1,1,2,1,4,null,ORD-000136,2025-03-07,PO-00136,165.03,16.5,11.03,12.68,506.55,49.5,3,2025-03-04,null,SP-007
B004285,1,1,2,3,1,4,null,ORD-000137,2025-03-14,PO-00137,157.82,15.78,11.95,12.58,322.04,31.56,2,2025-03-19,null,SP-005
B004102,1,1,2,2,1,1,null,ORD-000138,2025-03-14,PO-00138,282.53,28.25,5.28,29.49,562.58,56.5,2,2025-03-09,null,SP-001
B005143,1,1,2,2,1,5,null,ORD-000139,2025-03-23,PO-00139,261.73,26.17,18.81,41.88,2214.18,235.53,9,2025-03-11,null,SP-036
B004552,1,1,3,2,1,2,null,ORD-000140,2025-03-18,PO-00140,96.22,9.62,11.29,10.01,766.64,76.96,8,2025-03-15,null,SP-034
B007787,1,1,1,3,1,9,null,ORD-000141,2025-03-23,PO-00141,270.87,27.09,17.85,49.67,993.16,108.36,4,2025-03-10,null,SP-024
B009914,1,1,1,1,1,8,null,ORD-000142,2025-03-10,PO-00142,414.36,41.44,5.05,33.74,1688.24,165.76,4,2025-03-11,null,SP-038
B004882,1,1,2,3,1,8,null,ORD-000143,2025-03-12,PO-00143,210.44,21.04,12.26,24.74,1240.44,126.24,6,2025-03-13,null,SP-031
B004316,1,1,2,1,1,3,null,ORD-000144,2025-03-27,PO-00144,443.72,44.37,19.97,82.4,2028.45,221.85,5,2025-03-24,null,SP-025
B005392,1,1,2,3,1,7,null,ORD-000145,2025-03-04,PO-00145,285.11,28.51,7.59,22.99,2034.41,199.57,7,2025-03-19,null,SP-040
B006881,1,1,3,3,1,3,null,ORD-000146,2025-03-20,PO-00146,61.79,6.18,5.72,3.34,258.52,24.72,4,2025-03-11,null,SP-002
B002565,1,1,3,1,1,2,null,ORD-000147,2025-03-22,PO-00147,403.08,40.31,9.47,76.05,2938.72,322.48,8,2025-03-07,null,SP-027
B003727,1,1,1,3,1,8,null,ORD-000148,2025-03-18,PO-00148,10.2,1.02,14.41,1.51,97.1,10.2,10,2025-03-17,null,SP-018
B007165,1,1,1,2,1,2,null,ORD-000149,2025-03-20,PO-00149,448.88,44.89,14.63,50.72,3101.35,314.23,7,2025-03-09,null,SP-019
B004375,1,1,2,2,1,4,null,ORD-000150,2025-03-16,PO-00150,289.35,28.94,11.99,24.71,587.16,57.88,2,2025-03-01,null,SP-015
B005569,1,1,1,2,1,6,null,ORD-000151,2025-03-08,PO-00151,121.59,12.16,9.18,13.42,962.64,97.28,8,2025-03-11,null,SP-013
B009026,1,1,2,1,1,6,null,ORD-000152,2025-03-14,PO-00152,145.35,14.54,11.07,13.37,1172.16,116.32,8,2025-03-10,null,SP-038
B006784,1,1,1,2,1,8,null,ORD-000153,2025-03-13,PO-00153,436.32,43.63,9.91,62.49,2922.22,305.41,7,2025-03-25,null,SP-016
B009991,1,1,1,2,1,8,null,ORD-000154,2025-03-21,PO-00154,225.69,22.57,16.42,13.92,1640.38,157.99,7,2025-03-15,null,SP-037
B004025,1,1,3,3,1,2,null,ORD-000155,2025-03-20,PO-00155,308.8,30.88,17.49,60.55,1116.52,123.52,4,2025-03-23,null,SP-015
B009494,1,1,2,1,1,9,null,ORD-000156,2025-03-05,PO-00156,336.39,33.64,18.36,28.45,1024.74,100.92,3,2025-03-20,null,SP-032
B009063,1,1,1,1,1,1,null,ORD-000157,2025-03-17,PO-00157,223.19,22.32,8.47,23.76,1552.25,156.24,7,2025-03-20,null,SP-026
B003299,1,1,2,3,1,9,null,ORD-000158,2025-03-25,PO-00158,178.36,17.84,10.9,4.33,1726.83,160.56,9,2025-03-07,null,SP-024
B007471,1,1,1,3,1,9,null,ORD-000159,2025-03-23,PO-00159,239.13,23.91,9.76,30.14,931.6,95.64,4,2025-03-02,null,SP-033
B001840,1,1,3,2,1,3,null,ORD-000160,2025-03-16,PO-00160,164.83,16.48,9.92,26.65,773.3,82.4,5,2025-03-24,null,SP-010
B009784,1,1,3,3,1,9,null,ORD-000161,2025-03-05,PO-00161,69.39,6.94,10.39,4.45,359.4,34.7,5,2025-03-14,null,SP-027
B007878,1,1,1,1,1,9,null,ORD-000162,2025-03-26,PO-00162,271.97,27.2,7.26,42.55,513.24,54.4,2,2025-03-01,null,SP-027
B005310,1,1,1,2,1,8,null,ORD-000163,2025-03-24,PO-00163,281.02,28.1,5.39,21.7,1724.52,168.6,6,2025-03-11,null,SP-010
B003052,1,1,2,3,1,1,null,ORD-000164,2025-03-12,PO-00164,34.04,3.4,5.85,4.92,260.16,27.2,8,2025-03-05,null,SP-008
B002449,1,1,2,2,1,4,null,ORD-000165,2025-03-09,PO-00165,372.88,37.29,7.91,42.65,735.04,74.58,2,2025-03-08,null,SP-025
B009872,1,1,2,2,1,4,null,ORD-000166,2025-03-15,PO-00166,493.35,49.34,9.37,60.24,2894.7,296.04,6,2025-03-11,null,SP-012
B007540,1,1,1,1,1,6,null,ORD-000167,2025-03-05,PO-00167,347.6,34.76,9.13,44.59,2364.39,243.32,7,2025-03-26,null,SP-024
B007410,1,1,3,2,1,3,null,ORD-000168,2025-03-17,PO-00168,10.36,1.04,7.66,1.61,68.53,7.28,7,2025-03-01,null,SP-020
B002350,1,1,3,1,1,2,null,ORD-000169,2025-03-01,PO-00169,216.88,21.69,19.55,25.37,1492.4,151.83,7,2025-03-18,null,SP-013
B003763,1,1,1,2,1,1,null,ORD-000170,2025-03-09,PO-00170,353.68,35.37,11.17,67.97,1605.4,176.85,5,2025-03-24,null,SP-005
B005941,1,1,1,3,1,8,null,ORD-000171,2025-03-23,PO-00171,80.8,8.08,7.62,11.86,154.04,16.16,2,2025-03-03,null,SP-032
B007813,1,1,2,2,1,1,null,ORD-000172,2025-03-07,PO-00172,80.79,8.08,14.46,7.92,161.9,16.16,2,2025-03-17,null,SP-008
B002987,1,1,3,2,1,6,null,ORD-000173,2025-03-06,PO-00173,70.96,7.1,15.11,10.66,269.6,28.4,4,2025-03-01,null,SP-004
B004821,1,1,1,1,1,6,null,ORD-000174,2025-03-22,PO-00174,483.06,48.31,11.86,29.78,1504.77,144.93,3,2025-03-23,null,SP-024
