ASIN,RetailerId,CurrencyId,ProductId,PaymentTypeId,CustomerId,StatusId,GiftId,Order ID,Order Date,Purchase Order Number,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal Tax,Quantity,Ship Date,Item Serial Number
13435a53-f,3,3,6,2,4,3,119,b802a56e,2024-09-11,89ed4d10-d31,198.16,4.16,3.55,20.84,455.75,2.19,3,2024-09-19,50274bd4-1b13-4
6621159a-1,2,3,13,2,6,20,null,4999a3b9,2025-01-23,4ddae49e-8f6,149.28,13.99,9.09,4.84,192.65,20.97,5,null,865ac3fb-d436-4
484986fa-9,1,5,15,4,13,13,47,56abbd60,2022-06-13,9d71b011-db5,387.01,41.16,10.83,11.62,390.34,38.15,1,null,5a63bc6c-7e0e-4
12de40ed-4,1,3,16,2,3,17,119,7b6cdb53,2023-09-02,8c29be23-9ae,192.12,26.86,15.6,26.79,236.51,10.19,2,null,8c63cbee-60bf-4
18eecab2-e,2,4,15,1,20,10,116,76199b6d,2025-03-16,bff9638b-e85,151.19,31.47,16.16,0.11,43.12,19.45,1,2025-03-18,37c4acc8-721f-4
173a01c3-7,3,2,5,1,6,5,null,b622be0b,2023-12-05,36a97881-6ae,260.67,3.08,10.64,12.57,364.28,40.26,3,null,b3dac6e4-be46-4
cbfb68d4-3,1,4,17,3,25,18,95,61e6d303,2023-04-01,a0cb232b-0bd,8.39,16.66,12.81,23.4,430.35,48.27,3,null,342dbb65-f561-4
c84245ff-7,5,3,1,2,14,17,116,16e0f5e7,2023-09-15,cd169671-cc7,390.91,43.63,2.36,6.77,337.76,10.2,1,2023-09-22,19bc4971-16f1-4
f17a24d7-2,3,1,12,3,15,2,null,bab35e4d,2022-09-27,46198e75-4b0,212.92,30.89,19.74,26.01,162.26,30.49,4,2022-10-06,04be1163-5de0-4
019f87f0-3,4,3,17,1,22,16,null,a61455fa,2024-03-20,beb38571-90e,173.12,34.64,9.95,29.98,208.4,47.07,3,2024-03-23,39e34fb6-265c-4
ef0b32f6-7,3,1,3,4,2,20,68,3dd49aa4,2023-08-02,68dacab9-774,109.25,6.08,6.88,12.09,278.09,1.43,4,2023-08-08,e7dd0c1b-a686-4
50e2d2d0-8,4,4,8,4,16,5,57,ca623132,2023-01-05,4a02ef53-57d,85.73,42.03,0.47,29.09,501.52,15.82,4,2023-01-07,dc09f10e-c338-4
24e095c1-8,3,2,13,1,2,15,null,a96cd0b0,2023-07-17,1bdd338c-292,232.73,32.35,12.42,13.77,373.46,39.5,2,2023-07-22,770df817-2633-4
4b6a1d91-2,5,5,8,4,3,8,120,196a1ebe,2022-05-25,f90a7253-9f4,201.78,7.77,1.62,28.32,518.95,20.69,3,2022-06-01,3492b31d-20ad-4
73ab9005-9,3,1,14,2,12,9,93,54e4de44,2023-05-28,e10f2b39-a76,130.09,13.43,15.08,4.1,502.02,1.14,2,2023-05-31,00c8e4ce-9eae-4
93a59582-5,1,3,12,2,14,3,null,aa89831b,2023-04-22,ef6a67a3-c43,460.94,40.69,18.59,8.04,295.55,8.44,4,2023-04-28,a730089e-b522-4
2069fc19-b,4,2,8,2,24,19,108,20bb9f66,2023-09-10,73ea0977-6d3,128.22,22.86,10.46,20.91,63.02,19.58,4,2023-09-17,284644fa-cb8c-4
953840a3-e,3,2,17,1,15,16,null,ec354baf,2024-07-15,1a7aa3c2-56b,51.74,21.98,9.26,5.8,323.05,23.37,2,2024-07-25,9c0feab4-ca76-4
66df3638-2,4,3,18,4,14,16,119,2aec99dd,2022-07-16,a842760a-bb0,145.97,23.53,12.27,27.66,189.25,42.88,2,2022-07-24,ab0bb1d3-f445-4
d12bf4d2-1,1,2,19,3,17,20,null,caa4fd24,2024-03-18,dda4f030-f07,281.49,19.77,3.65,18.8,207.72,17.1,2,2024-03-19,c47a2ea4-657e-4
3b26b52d-e,5,5,1,1,17,20,48,93deffd1,2024-06-05,d05917f0-9f8,56.88,45.81,18.92,18.71,563.45,41.46,4,2024-06-13,5f660646-e307-4
51c79944-6,4,1,10,2,12,15,null,5d8bcf27,2023-09-14,19872e45-d8c,211.56,49.77,2.34,25.86,552.36,14.39,3,2023-09-15,a5fb9b44-8fdf-4
097a70dd-f,3,2,13,1,9,11,111,0eae1341,2024-04-13,22b64fca-cec,33.33,17.05,9.61,28.12,108.11,16.49,5,2024-04-22,ef7c141b-f8d4-4
79c6a80c-4,3,2,11,4,5,4,null,8b6e7733,2023-06-14,f2c4c77b-6e7,485.5,31.48,8.46,0.91,488.61,30.12,2,2023-06-24,077ec913-152a-4
89ab99cd-f,3,4,19,1,6,13,66,8c4d3148,2023-02-14,7e4596c4-2e5,112.33,10.85,5.48,15.98,248.18,32.22,1,2023-02-16,3df036ab-dc1c-4
f217121c-c,4,4,18,1,18,16,88,63ebd5e4,2022-06-29,c974eb7c-420,163.58,8.28,17.76,26.25,503.67,20.77,5,2022-07-07,56d06a72-4ca8-4
d88bb3f8-8,2,4,3,3,12,19,null,758e923c,2023-03-10,35b32067-a41,309.06,6.13,17.79,4.2,312.64,12.33,1,null,765f6246-283d-4
5f276678-3,2,3,17,4,8,5,72,58b8bde5,2022-04-04,7a783848-9a9,154.14,23.71,19.11,10.34,432.48,11.39,3,2022-04-13,af82369f-25b3-4
168eb2a9-6,2,5,11,2,18,12,62,2ad2e031,2024-07-12,b57b2aca-66d,243.03,5.4,12.68,4.87,519.73,28.79,5,2024-07-19,30defaa9-90e7-4
e25db83c-1,5,5,20,1,7,5,null,8f93ae14,2023-09-04,d664968d-38e,125.39,34.44,12.42,25.37,163.35,25.7,3,2023-09-12,f0cf69a0-2c60-4
8c00b0ea-b,4,4,9,2,22,4,null,87e5d422,2023-03-01,7f77d7df-8ea,477.27,22.51,6.72,6.15,311.31,2.43,4,2023-03-07,46eee71a-95db-4
ec2c7d29-f,5,3,16,1,11,6,null,97edb077,2023-06-27,7169f8b7-edc,232.81,29.56,4.71,23.84,361.37,48.77,2,2023-06-28,9e0f19d3-2aad-4
926411c6-e,2,5,19,4,11,4,110,874490a2,2023-04-13,8400cdfa-184,484.39,45.11,0.45,11.28,483.8,30.42,1,2023-04-17,f98e7df4-81ff-4
5991b904-2,5,5,7,2,16,12,92,96763e92,2022-07-22,6829b853-c43,341.96,15.35,11.12,13.97,409.64,49.73,2,2022-07-25,a5bcdd10-534c-4
c3ab2ff1-a,5,4,13,2,23,11,70,60ae9e7d,2024-04-24,8a8afd33-e9e,97.85,4.38,7.3,23.03,515.82,19.86,2,2024-04-29,be75b0f3-efdf-4
3d552023-e,5,2,6,4,3,15,null,0d968bd4,2023-05-26,fcbe715c-6f1,374.79,29.52,0.17,19.98,558.82,46.95,4,2023-06-05,9e88d0d8-24ce-4
43adc2b2-f,3,3,17,1,19,3,96,41509490,2022-12-30,918fc8fc-4b3,89.25,6.06,6.07,9.07,59.88,27.1,4,2023-01-08,fb8fd5e4-73ae-4
bfced40a-b,1,2,6,2,10,1,null,75d63f5a,2023-11-14,9241eeaf-346,268.77,38.67,3.63,12,75.9,2.11,1,2023-11-20,de17d065-d7a3-4
26acf436-4,1,3,5,4,11,20,null,b7645c2a,2023-11-05,fc38c880-b79,480.46,4.98,3.05,6.98,387.98,36.23,3,2023-11-15,9aadcaa4-40fa-4
18a73eba-6,3,3,5,2,6,13,null,fa3564db,2022-06-16,acec9a6c-21b,269.24,21.62,14.67,24.51,65.45,49,1,null,18a99d13-081e-4
fc670696-8,5,1,17,1,1,16,null,9f7a1272,2024-12-10,aa9f3b38-8c1,33.12,20.44,17.81,23.69,333,8.83,3,null,828bc19e-1ede-4
116206b8-b,5,2,11,4,3,1,104,0abe9e2a,2023-05-05,2b134a0f-a6d,85.8,23.06,10.21,6.5,467.97,17.33,1,2023-05-09,5e64ea50-c90d-4
c1663847-f,5,3,16,2,15,4,null,19e268a1,2022-09-13,aeaaceb9-6be,198.91,25.97,13.61,19.43,193.41,11.84,3,null,46f4c4a3-eaec-4
cc5ca7ad-b,2,3,5,2,20,19,null,7d7e6793,2024-01-14,1222bfc2-0b0,476.26,12.56,5.65,1.92,224.76,45.17,4,2024-01-18,906ea4f9-73db-4
2f79e304-d,4,4,12,4,14,19,null,b9b3ee94,2023-09-24,c329b537-77d,228.55,18.82,2.32,17.27,165.97,9.83,3,2023-10-04,6d823591-640a-4
8fc70756-4,3,5,10,4,3,4,null,a1e9acb8,2022-08-08,43907b62-bae,264.13,9.54,0.76,13.25,85.17,49.93,4,2022-08-10,76e86c84-11c7-4
f6a004b5-f,1,5,9,1,24,15,null,4d486bad,2022-06-20,2fd41bea-422,66.98,24.64,8.76,16.99,158.06,5.41,3,null,4ebbef9e-2f27-4
431bca5f-7,2,1,12,3,4,11,62,77e0a599,2023-08-03,ce86507d-136,73.59,10.73,14.45,12.24,161.83,23.66,5,2023-08-12,385e0559-5f11-4
4e5559c2-a,3,4,9,2,16,16,null,0e4decea,2022-06-25,f063922e-6b2,39.11,27.64,9.1,27.7,509.38,48.33,1,2022-06-26,5442718b-a603-4
3bdd5a33-0,5,1,20,2,11,9,null,2a254123,2022-03-29,02a27191-874,113.5,26,17.23,17.49,501.87,29.44,1,null,3996e22c-c6d6-4
6caec910-0,4,2,13,4,14,17,90,d62690ee,2024-12-17,d739fe2e-5c1,465.29,49.65,12.44,19.51,533.5,30.17,5,2024-12-26,602ed679-6924-4
209ccba6-1,3,4,10,4,20,2,null,805fca20,2023-11-13,3a4a64a5-1da,41.88,38.44,5.92,25.27,350.34,34.23,5,null,872aca1d-c4e6-4
4aa9262f-4,5,2,12,2,9,16,118,aa2d091e,2025-02-04,0f0360db-a77,204.76,10.88,19.69,22.16,519.35,18.34,4,2025-02-08,453b4730-c100-4
3aec326a-f,2,5,17,2,10,2,41,c911226a,2024-07-13,1a06a672-2db,399.92,34.94,3.85,10.78,154.63,27.86,1,2024-07-17,e55abd5e-63c2-4
d444a4f8-f,3,4,11,1,5,19,96,25d177b8,2024-10-11,2a4884b9-d28,218.14,23.01,6.84,21.21,136.41,48.82,2,2024-10-19,7629d618-6f57-4
36dc5859-5,5,3,8,4,7,14,47,5a0dd18a,2024-12-11,6d2f6ed6-b13,42.3,29.57,11.45,10.4,460.71,12.12,1,2024-12-20,5117b68e-f6c3-4
aa59b6e5-c,1,1,18,2,11,2,69,8647ab8c,2024-08-06,ab86f01c-13e,351.81,41.19,3.53,22.49,574.75,13.39,3,2024-08-16,82f2f5e6-80b0-4
45ec54dd-8,3,3,12,3,7,9,106,6037140a,2023-10-26,8772e3de-f44,474.82,4.03,6.69,4.32,276.86,41.81,4,2023-10-30,78b268a1-7185-4
949f44ea-3,2,1,6,3,25,16,null,a95fe6d2,2024-11-02,91d4e111-11a,141.44,2.58,19.74,2.56,518.25,46.9,4,2024-11-04,0b2bb20f-93df-4
4269283d-1,4,5,6,4,12,9,null,e1d6d5e3,2022-12-12,ffada1e0-30e,244.89,22.3,10.36,29.16,474.77,5.2,4,2022-12-22,7f338757-e0ad-4
c757a9f0-0,1,5,1,3,3,18,null,c8bc4db4,2023-10-14,3c558cd3-e20,410.89,14.55,13.69,20.51,341.39,22.53,1,2023-10-21,578f6ec4-833e-4
c75c592c-8,5,5,7,3,16,19,86,17018741,2022-03-31,490a5149-aad,308.19,35.04,14.11,13.85,317.86,19.03,5,null,94f1604c-77ea-4
144acc44-8,1,1,18,4,8,12,null,ff191fab,2024-04-01,b72820f7-759,27.42,28.15,0.93,11.71,32.37,36.29,1,2024-04-07,bf1efe2b-7396-4
75871e37-4,1,2,19,4,7,11,72,d8b05e59,2023-11-24,2d6bf7e9-ccd,110.9,43.35,3.07,14.18,159.73,28.11,3,null,15cbbd8d-6fa5-4
1e7e4a69-2,3,1,10,2,13,14,56,62d335da,2022-06-21,f8feebf3-a2f,272.59,25.58,16.87,0.11,331.34,9.69,5,2022-06-27,8fa47f4c-843b-4
a7b5949c-2,2,4,9,4,13,5,null,594fe119,2023-02-06,d68a0251-b90,214.84,22.28,5.02,3.24,383.5,32.76,1,2023-02-12,1c5f73f2-9714-4
b9eba166-9,5,3,17,1,2,1,56,99526cf2,2022-04-04,c22acf83-859,499.54,20.93,4.48,3.4,432.97,8.83,3,2022-04-09,fcffbc0d-e07a-4
588b2b96-d,1,4,9,2,9,11,105,5f28f4a5,2024-07-22,cbc0353e-064,172.65,47.33,17.81,20.26,113.47,30.23,5,2024-07-25,d31fe374-f417-4
efc94829-1,4,1,11,4,16,2,39,628db001,2023-01-20,658a1d45-54a,24.08,1.46,2.17,22.2,480.7,39.16,4,2023-01-21,52055e24-1053-4
d7e2eaad-6,3,3,4,1,19,12,59,3488b759,2025-03-16,1d24a596-74f,48.28,39.35,18.65,19.46,366.04,2.84,1,2025-03-18,cccd139d-622f-4
2ce8b16b-8,4,1,19,3,23,19,45,1d56d316,2022-04-13,fb867ef3-f23,487.29,37.54,14.1,13.22,297.37,44.47,1,2022-04-23,1cb6d2d1-3743-4
d0282b81-5,1,1,18,1,18,18,null,72f15188,2022-11-04,4c86592c-919,124.79,28.87,13.44,10.96,161.49,7.15,5,2022-11-08,19d2b9b5-878e-4
0d82e9f2-5,5,2,4,1,24,4,56,8eea0e28,2025-01-31,bff63ee9-654,320.43,11.53,17.73,14.66,241.44,14.07,4,2025-02-01,9c5a7a27-5ad5-4
7c82588f-a,3,1,15,2,25,4,null,5ece4f3a,2023-07-30,cbf0a56e-7d0,462.67,17.7,9.26,2.75,43.89,2.79,4,null,5b637dad-335f-4
b6566d5f-5,2,5,7,3,10,3,108,45f61233,2022-06-19,917c395b-383,158.73,44.13,14.3,10.61,458.21,35.1,4,2022-06-26,4be9cd7f-46b3-4
ec8f9f74-7,4,1,5,1,3,13,46,f617c1ac,2023-07-19,7bc1ad5f-3e7,86.06,25.04,7.92,4.54,107.86,21.39,1,2023-07-21,586bbb27-2a63-4
15b4568c-c,3,5,15,2,11,18,null,811c4607,2023-07-25,285320b6-17f,401.16,16.99,10.23,3.33,567.65,19.07,3,2023-07-29,b632067b-9956-4
85c76016-f,2,2,13,3,3,15,null,c6a0eb7e,2022-12-17,060da2c4-ec2,485.23,4.15,15.91,2.92,223.49,16.78,1,2022-12-23,42cd0e04-014f-4
6b43caef-3,1,2,20,1,3,11,83,1b6e52de,2023-09-04,0b85f427-ea7,477.03,14.01,19.22,15.1,151.66,43.63,2,2023-09-11,2c448783-f3c4-4
86ea79a5-2,2,3,8,1,18,7,null,6609e30e,2022-11-11,dfad0c6c-9b7,344.01,25.29,11.86,14.34,106.44,32.52,1,2022-11-15,89a5de91-e5ca-4
a12b6a1b-b,2,5,4,4,10,10,null,807bbf35,2024-08-06,4409c58c-579,119.42,22.55,11.21,27.05,335.86,25.82,5,2024-08-12,d59d1dde-0cf3-4
884dd3ad-d,1,1,13,3,10,12,null,76aa8785,2023-03-24,7ece191f-413,221.48,23.28,7.29,19.08,449.78,25.71,3,2023-03-30,32467cbc-3337-4
ee604a0b-f,5,5,14,4,4,3,null,5bc872b5,2023-02-07,a9175dde-4c5,309.04,15.3,1.75,28.69,53.44,14.81,4,null,be93cd60-4aa4-4
2c079341-a,2,2,12,3,8,15,87,71641d20,2023-06-27,1d972624-382,174.91,29.93,8.35,16.32,316.98,26.83,2,2023-06-29,1aa11d15-84f1-4
60fb9a5d-e,2,1,10,1,5,20,null,20ba71bf,2023-06-26,53e25cd3-b7c,480.25,16.77,2.77,9.77,554.67,48.29,4,2023-06-29,d0dc01e7-159d-4
57325401-1,2,1,7,3,8,4,null,4bd86974,2022-12-05,bca1e25a-578,207.23,14.99,6.16,6.51,487.34,35.5,4,2022-12-12,3a153d11-39cf-4
308fcc2f-c,5,1,1,4,21,6,null,39c9fc33,2022-06-02,8fe5c61b-000,393.43,36.56,11.46,2.03,306.81,11.37,2,2022-06-12,1da23225-07ea-4
5f152170-4,5,4,1,1,23,11,null,0fc5015f,2024-03-07,8fd8613d-e1d,262.12,31.4,12.55,29.18,394.34,24.87,4,2024-03-10,a31fc669-9123-4
18c193e0-8,3,3,10,4,8,19,null,d80e03ee,2023-12-18,6f987ef1-c99,86.12,34.15,8.29,3.93,229.76,11.96,1,2023-12-21,778cf2f4-755e-4
cb64e40b-5,2,4,20,1,19,2,null,37477f23,2022-11-05,b919ad95-420,37.49,5.14,3.49,20.1,288.24,27.21,1,2022-11-07,c7ed69d5-3cec-4
c1db6ff3-5,2,1,12,4,9,17,null,967800cc,2023-02-26,7aace055-b3a,143.4,7.66,5.94,18.2,376.35,42.36,4,2023-03-02,97ada0e6-0734-4
54f683cc-d,5,5,14,3,2,4,111,e0aff9af,2022-10-09,76aca824-454,276.77,24.38,14.41,7.32,155.51,40.11,5,2022-10-17,5870ad89-32c5-4
6fff498d-2,1,1,16,3,17,10,null,4a2d38d7,2022-11-03,d8958509-ba7,135.71,1.13,3.31,7.9,585.32,3.42,1,2022-11-08,1190ae6f-9230-4
667da745-b,4,4,19,3,12,11,47,68e4288a,2023-12-14,8e0a8b8b-8a0,137.81,22.41,8.16,28.35,564.79,25.38,4,2023-12-22,02a6e8c5-5517-4
cb9aca2c-0,4,5,7,2,11,13,null,91fc0d3f,2023-03-11,07c25939-5ee,119.66,28.68,12.67,22.17,570.19,45.81,4,null,80379e5e-98b5-4
1afccc0f-c,5,1,16,2,9,17,107,706f72e5,2025-03-02,93c2a6b5-fd7,182.8,22.49,3.66,11.01,585.49,28.89,1,2025-03-07,8d950d61-e7f5-4
73831f8e-7,1,1,9,3,1,16,93,d868dc69,2023-09-06,4258c9c6-7a6,296.85,5.37,15.38,12.92,577.56,23.74,3,null,886168d7-6766-4
80cd2c37-f,4,4,8,4,21,5,null,0ba525af,2022-09-02,6eb8dbe1-41e,87.46,34.03,11.57,17.85,357.16,43.93,4,2022-09-04,6120c30c-4db1-4
dddc6216-e,5,3,12,1,4,13,72,fbfe41bf,2023-10-10,a586ed3e-053,214.92,47.45,8.91,9.63,18.57,30.41,4,2023-10-11,d3ecd605-905a-4
f77016d5-c,1,3,5,3,16,18,null,641f13c0,2023-10-31,303130cd-01f,264.49,47.74,3.88,27.49,164.24,25.11,4,null,49751635-786b-4
65578943-3,4,3,9,1,10,11,34,7c8dbcd2,2023-01-20,ff2531e0-5e0,139.33,29.16,8.73,4.18,36.11,28.58,3,2023-01-30,d305b9ce-b0a1-4
f1b7fd50-7,5,4,2,4,21,11,84,0b5a9d7b,2024-02-20,e1694478-65d,371.6,15.02,16.25,17.47,358.81,10.51,3,2024-03-01,1e53ac07-bdf6-4
003777ca-9,3,1,19,1,4,4,null,60bebdcf,2024-04-23,386a6528-672,108.92,18.56,6.03,3.33,276.14,6.97,1,2024-04-25,fffb6d2a-4e6c-4
9512e6a9-4,5,3,8,3,8,7,111,63f65321,2025-02-10,c8f91eab-cdc,187.29,11.51,16.45,10.39,379.19,3.75,5,2025-02-12,c192e72f-6780-4
46ebba7e-8,4,2,7,3,17,9,null,d48eb5f4,2022-11-14,296d9dab-721,128.31,36.33,10.51,18.4,591.36,23.88,1,2022-11-24,ad8bcc37-4b12-4
20a9a679-d,1,2,8,1,2,14,48,ee9242f5,2022-12-21,ee1a77a3-1b2,299.38,22.56,4.37,26.66,168.86,40.29,4,2022-12-23,6c7597b3-eed3-4
b26dd410-f,4,5,13,4,17,3,null,fb2c15bc,2023-01-03,011fb582-82b,9.8,25.24,2.6,28.45,364.57,34.21,3,2023-01-04,4ca3d4ce-3cb3-4
ca627c75-8,5,2,2,2,3,12,null,089a14a1,2025-03-12,560f1fe6-672,140.45,4.86,9.33,27.93,140.32,20.37,3,2025-03-17,df488f9b-9f82-4
74267ce5-1,3,2,20,3,15,15,null,c74df3f1,2024-10-04,a1ced62c-ccf,120.45,8.74,5.39,9.6,156.23,31.69,4,2024-10-07,0befe842-2de9-4
c184b91d-f,1,3,3,2,17,18,95,5c7a1f6b,2022-11-23,757b2ebf-eb0,279.34,16.71,4.71,5.59,560.13,2.06,3,2022-11-24,bd22ff90-b70d-4
ae7ccc89-5,5,1,17,1,5,5,null,80ccdd9a,2022-08-19,2dec1cf8-1a9,137.61,32.41,13.39,23.54,517.81,30.72,4,2022-08-21,efd28bac-3c5b-4
b285d20c-f,4,2,1,3,7,15,null,ce08e5ab,2022-04-14,3e058e4a-ff8,84.42,29.52,12.39,3.45,371.08,5.13,4,null,d04c67e6-d719-4
f65cccd3-4,3,1,11,2,13,17,null,886a3088,2022-05-17,bbbaad9f-bf4,294.65,27.23,15.85,13.62,44.4,46.89,5,2022-05-23,c6001d94-b623-4
a7a637a2-5,5,4,6,4,5,11,null,8026873d,2023-03-01,6940e2ef-a04,27.22,10.05,16.85,20.19,407.11,44.76,3,2023-03-09,824c413f-7880-4
85276a08-1,2,3,13,3,15,15,112,2fdac392,2024-04-09,2c071da1-a53,101.39,17.26,0.06,20.37,76.06,35.24,3,2024-04-18,2a8383b4-5235-4
