Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number,Salesperson ID,Store Manager ID
Amazon,ORD-000011,2025-03-25,PO-00011,USD,348.44,34.84,5.22,19.72,3635.6,3484.4,348.4,B008190,New,10,Credit Card,Shipped,Delivered,2025-03-07,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-3424,Sample Product,,,,,SP-023,SM-003
Amazon,ORD-000012,2025-03-06,PO-00012,USD,118.25,11.83,15.0,18.21,783.09,827.75,82.81,B003263,New,7,Credit Card,Pending,Delivered,2025-03-21,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-6315,Sample Product,,,,,SP-013,SM-002
Amazon,ORD-000013,2025-03-14,PO-00013,USD,476.28,47.63,11.66,74.72,898.38,952.56,95.26,B001804,Used - Like New,2,PayPal,Shipped,In Transit,2025-03-22,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-5572,Sample Product,,,,,SP-006,SM-001
Amazon,ORD-000014,2025-03-05,PO-00014,USD,77.21,7.72,11.01,10.36,447.42,463.26,46.32,B003441,Used - Like New,6,Credit Card,Shipped,In Transit,2025-03-07,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-2186,Sample Product,,,,,SP-012,SM-002
Amazon,ORD-000015,2025-03-20,PO-00015,USD,255.81,25.58,11.38,35.91,1227.4,1279.05,127.9,B006565,Refurbished,5,Gift Card,Shipped,Delivered,2025-03-28,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-9332,Sample Product,,,,,SP-019,SM-003
Amazon,ORD-000016,2025-03-17,PO-00016,USD,102.79,10.28,7.54,7.08,211.98,205.58,20.56,B003457,Refurbished,2,PayPal,Cancelled,In Transit,2025-03-06,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-7816,Sample Product,,,,,SP-034,SM-004
Amazon,ORD-000017,2025-03-09,PO-00017,USD,149.21,14.92,19.9,22.99,564.56,596.84,59.68,B008748,Refurbished,4,Credit Card,Shipped,In Transit,2025-03-25,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-3556,Sample Product,,,,,SP-036,SM-004
Amazon,ORD-000018,2025-03-07,PO-00018,USD,372.93,37.29,7.07,34.56,1126.98,1118.79,111.87,B004574,Refurbished,3,Gift Card,Shipped,Delivered,2025-03-04,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-9 - Tracking-5609,Sample Product,,,,,SP-026,SM-003
Amazon,ORD-000019,2025-03-17,PO-00019,USD,349.0,34.9,19.92,29.81,2124.54,2094.0,209.4,B003288,Used - Like New,6,Gift Card,Cancelled,Delivered,2025-03-09,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-9 - Tracking-7984,Sample Product,,,,,SP-030,SM-004
Amazon,ORD-000020,2025-03-28,PO-00020,USD,260.88,26.09,18.92,15.24,2173.84,2087.04,208.72,B006009,New,8,Credit Card,Cancelled,In Transit,2025-03-22,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-5847,Sample Product,,,,,SP-028,SM-004
Amazon,ORD-000021,2025-03-17,PO-00021,USD,404.15,40.41,5.89,50.5,1182.18,1212.45,121.23,B001181,Refurbished,3,Credit Card,Shipped,Delivered,2025-03-04,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-2435,Sample Product,,,,,SP-025,SM-003
Amazon,ORD-000022,2025-03-14,PO-00022,USD,371.13,37.11,6.11,67.23,682.02,742.26,74.22,B005440,New,2,Gift Card,Pending,In Transit,2025-03-27,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-5 - Tracking-3770,Sample Product,,,,,SP-025,SM-003
Amazon,ORD-000023,2025-03-17,PO-00023,USD,172.99,17.3,5.54,22.13,504.48,518.97,51.9,B007242,New,3,Gift Card,Shipped,In Transit,2025-03-15,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-5 - Tracking-4353,Sample Product,,,,,SP-039,SM-005
Amazon,ORD-000024,2025-03-25,PO-00024,USD,353.71,35.37,8.77,42.48,693.2,707.42,70.74,B008300,Used - Like New,2,Gift Card,Shipped,In Transit,2025-03-06,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-7192,Sample Product,,,,,SP-012,SM-002
Amazon,ORD-000025,2025-03-26,PO-00025,USD,385.09,38.51,9.32,68.62,1774.9,1925.45,192.55,B003762,New,5,PayPal,Pending,In Transit,2025-03-13,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-1526,Sample Product,,,,,SP-018,SM-002
Amazon,ORD-000026,2025-03-13,PO-00026,USD,209.87,20.99,16.36,35.96,584.7,629.61,62.97,B009466,Used - Like New,3,PayPal,Shipped,Delivered,2025-03-24,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-3545,Sample Product,,,,,SP-006,SM-001
Amazon,ORD-000027,2025-03-23,PO-00027,USD,480.22,48.02,17.71,30.73,4477.59,4321.98,432.18,B007798,New,9,Gift Card,Pending,In Transit,2025-03-15,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-2281,Sample Product,,,,,SP-021,SM-003
Amazon,ORD-000028,2025-03-05,PO-00028,USD,73.48,7.35,5.61,5.66,225.51,220.44,22.05,B007765,New,3,Credit Card,Cancelled,Delivered,2025-03-17,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-8594,Sample Product,,,,,SP-022,SM-003
Amazon,ORD-000029,2025-03-09,PO-00029,USD,390.82,39.08,16.66,60.59,369.31,390.82,39.08,B007444,Used - Like New,1,Gift Card,Shipped,Pending,2025-03-05,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-6680,Sample Product,,,,,SP-011,SM-002
Amazon,ORD-000030,2025-03-09,PO-00030,USD,23.57,2.36,6.78,2.16,71.31,70.71,7.08,B008528,New,3,Credit Card,Pending,Pending,2025-03-23,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-9136,Sample Product,,,,,SP-005,SM-001
Amazon,ORD-000031,2025-03-10,PO-00031,USD,171.43,17.14,18.28,12.93,702.56,685.72,68.56,B003355,Used - Like New,4,Gift Card,Shipped,Delivered,2025-03-18,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-5 - Tracking-3212,Sample Product,,,,,SP-004,SM-001
Amazon,ORD-000032,2025-03-20,PO-00032,USD,182.42,18.24,11.82,16.07,1292.13,1276.94,127.68,B009805,Used - Like New,7,Gift Card,Cancelled,Pending,2025-03-01,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-5298,Sample Product,,,,,SP-033,SM-004
Amazon,ORD-000033,2025-03-11,PO-00033,USD,237.27,23.73,15.38,40.79,1541.47,1660.89,166.11,B001408,New,7,Gift Card,Pending,In Transit,2025-03-13,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-3660,Sample Product,,,,,SP-015,SM-002
Amazon,ORD-000034,2025-03-27,PO-00034,USD,91.55,9.15,19.54,2.12,492.9,457.75,45.75,B001635,New,5,Gift Card,Pending,In Transit,2025-03-28,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-2690,Sample Product,,,,,SP-020,SM-003
Amazon,ORD-000035,2025-03-17,PO-00035,USD,372.67,37.27,10.69,72.25,2363.83,2608.69,260.89,B001500,New,7,Credit Card,Pending,Delivered,2025-03-11,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-2178,Sample Product,,,,,SP-003,SM-001
Amazon,ORD-000036,2025-03-02,PO-00036,USD,247.7,24.77,8.04,43.02,2065.05,2229.3,222.93,B005730,Refurbished,9,Gift Card,Shipped,In Transit,2025-03-05,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-6564,Sample Product,,,,,SP-003,SM-001
Amazon,ORD-000037,2025-03-17,PO-00037,USD,454.03,45.4,17.69,46.38,4077.45,4086.27,408.6,B002841,New,9,Credit Card,Cancelled,Pending,2025-03-16,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-7479,Sample Product,,,,,SP-028,SM-004
Amazon,ORD-000038,2025-03-15,PO-00038,USD,345.3,34.53,5.23,47.81,664.04,690.6,69.06,B007030,New,2,Gift Card,Shipped,Pending,2025-03-23,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-5588,Sample Product,,,,,SP-037,SM-005
Amazon,ORD-000039,2025-03-09,PO-00039,USD,56.31,5.63,9.57,10.4,309.24,337.86,33.78,B003849,Refurbished,6,Credit Card,Shipped,Delivered,2025-03-18,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-4993,Sample Product,,,,,SP-005,SM-001
Amazon,ORD-000040,2025-03-08,PO-00040,USD,301.67,30.17,8.02,11.36,2243.36,2111.69,211.19,B005619,Refurbished,7,Gift Card,Pending,Delivered,2025-03-04,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-2801,Sample Product,,,,,SP-025,SM-003
Amazon,ORD-000041,2025-03-19,PO-00041,USD,172.56,17.26,11.11,24.26,496.68,517.68,51.78,B002097,Used - Like New,3,Credit Card,Cancelled,In Transit,2025-03-02,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-9 - Tracking-8350,Sample Product,,,,,SP-007,SM-001
Amazon,ORD-000042,2025-03-10,PO-00042,USD,377.43,37.74,13.15,70.0,3106.53,3396.87,339.66,B003232,Refurbished,9,PayPal,Pending,Pending,2025-03-23,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-7874,Sample Product,,,,,SP-029,SM-004
Amazon,ORD-000043,2025-03-28,PO-00043,USD,353.95,35.4,10.77,50.2,678.3,707.9,70.8,B008941,Used - Like New,2,Gift Card,Pending,Delivered,2025-03-05,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-5 - Tracking-3228,Sample Product,,,,,SP-022,SM-003
Amazon,ORD-000044,2025-03-04,PO-00044,USD,394.25,39.43,17.59,1.47,3457.68,3154.0,315.44,B001064,New,8,Credit Card,Pending,Pending,2025-03-23,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-5 - Tracking-2279,Sample Product,,,,,SP-015,SM-002
Amazon,ORD-000045,2025-03-11,PO-00045,USD,432.66,43.27,14.85,47.9,2140.15,2163.3,216.35,B008686,Refurbished,5,Gift Card,Cancelled,In Transit,2025-03-26,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-1812,Sample Product,,,,,SP-032,SM-004
Amazon,ORD-000046,2025-03-25,PO-00046,USD,393.51,39.35,6.65,56.38,3388.32,3541.59,354.15,B002586,Refurbished,9,Credit Card,Pending,In Transit,2025-03-24,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-7722,Sample Product,,,,,SP-023,SM-003
Amazon,ORD-000047,2025-03-03,PO-00047,USD,427.99,42.8,8.1,71.32,1198.41,1283.97,128.4,B003516,New,3,PayPal,Pending,Pending,2025-03-20,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-7222,Sample Product,,,,,SP-013,SM-002
Amazon,ORD-000048,2025-03-10,PO-00048,USD,74.53,7.45,6.46,10.87,426.66,447.18,44.7,B009594,Refurbished,6,Credit Card,Shipped,Pending,2025-03-03,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-4932,Sample Product,,,,,SP-026,SM-003
Amazon,ORD-000049,2025-03-25,PO-00049,USD,101.57,10.16,7.15,6.55,841.44,812.56,81.28,B002429,Used - Like New,8,PayPal,Pending,In Transit,2025-03-03,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-9 - Tracking-7424,Sample Product,,,,,SP-026,SM-003
Amazon,ORD-000050,2025-03-13,PO-00050,USD,205.1,20.51,5.87,34.71,763.6,820.4,82.04,B005815,New,4,Credit Card,Pending,In Transit,2025-03-01,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-2617,Sample Product,,,,,SP-009,SM-001
Amazon,ORD-000051,2025-03-15,PO-00051,USD,242.18,24.22,5.33,8.88,1030.08,968.72,96.88,B005945,Used - Like New,4,Gift Card,Shipped,Delivered,2025-03-03,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-4229,Sample Product,,,,,SP-005,SM-001
Amazon,ORD-000052,2025-03-01,PO-00052,USD,449.02,44.9,19.31,67.02,3415.2,3592.16,359.2,B005247,Refurbished,8,PayPal,Cancelled,Pending,2025-03-06,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-9502,Sample Product,,,,,SP-034,SM-004
Amazon,ORD-000053,2025-03-17,PO-00053,USD,148.23,14.82,17.78,1.73,161.32,148.23,14.82,B005030,New,1,PayPal,Pending,Delivered,2025-03-11,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-8477,Sample Product,,,,,SP-024,SM-003
Amazon,ORD-000054,2025-03-08,PO-00054,USD,457.58,45.76,12.58,20.63,2413.55,2287.9,228.8,B008526,Used - Like New,5,Credit Card,Shipped,Delivered,2025-03-14,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-6701,Sample Product,,,,,SP-017,SM-002
Amazon,ORD-000055,2025-03-17,PO-00055,USD,377.75,37.77,8.3,19.14,396.38,377.75,37.77,B002832,Refurbished,1,PayPal,Cancelled,In Transit,2025-03-22,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-2444,Sample Product,,,,,SP-017,SM-002
Amazon,ORD-000056,2025-03-06,PO-00056,USD,23.83,2.38,18.36,3.16,115.25,119.15,11.9,B001917,Used - Like New,5,Credit Card,Cancelled,Pending,2025-03-03,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-3891,Sample Product,,,,,SP-012,SM-002
Amazon,ORD-000057,2025-03-11,PO-00057,USD,496.66,49.67,17.82,97.82,4485.1,4966.6,496.7,B003766,New,10,Credit Card,Pending,Pending,2025-03-03,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-6 - Tracking-6819,Sample Product,,,,,SP-036,SM-004
Amazon,ORD-000058,2025-03-10,PO-00058,USD,72.87,7.29,15.59,4.13,228.09,218.61,21.87,B005101,Used - Like New,3,Gift Card,Pending,Delivered,2025-03-08,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-2041,Sample Product,,,,,SP-016,SM-002
Amazon,ORD-000059,2025-03-09,PO-00059,USD,132.64,13.26,10.32,18.87,508.12,530.56,53.04,B002154,Used - Like New,4,PayPal,Pending,In Transit,2025-03-12,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-7323,Sample Product,,,,,SP-028,SM-004
Amazon,ORD-000060,2025-03-27,PO-00060,USD,205.95,20.59,6.17,7.23,1096.55,1029.75,102.95,B005833,Used - Like New,5,Gift Card,Cancelled,In Transit,2025-03-20,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-3780,Sample Product,,,,,SP-008,SM-001
Amazon,ORD-000061,2025-03-14,PO-00061,USD,16.62,1.66,7.8,1.53,167.5,166.2,16.6,B006085,Refurbished,10,PayPal,Cancelled,Pending,2025-03-06,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-7527,Sample Product,,,,,SP-020,SM-003
Amazon,ORD-000062,2025-03-01,PO-00062,USD,65.23,6.52,15.17,2.56,553.52,521.84,52.16,B007492,Used - Like New,8,Gift Card,Shipped,In Transit,2025-03-15,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-2734,Sample Product,,,,,SP-020,SM-003
Amazon,ORD-000063,2025-03-24,PO-00063,USD,462.09,46.21,17.76,27.22,2886.48,2772.54,277.26,B003337,New,6,Gift Card,Pending,Pending,2025-03-28,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-7664,Sample Product,,,,,SP-013,SM-002
Amazon,ORD-000064,2025-03-18,PO-00064,USD,162.75,16.28,14.92,9.91,338.24,325.5,32.56,B006527,New,2,PayPal,Shipped,Pending,2025-03-22,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-9795,Sample Product,,,,,SP-019,SM-003
Amazon,ORD-000065,2025-03-04,PO-00065,USD,80.44,8.04,14.87,2.26,689.76,643.52,64.32,B005714,New,8,Credit Card,Shipped,Pending,2025-03-22,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-1834,Sample Product,,,,,SP-018,SM-002
Amazon,ORD-000066,2025-03-27,PO-00066,USD,94.52,9.45,12.78,18.59,341.52,378.08,37.8,B003583,Refurbished,4,PayPal,Shipped,In Transit,2025-03-01,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-7698,Sample Product,,,,,SP-036,SM-004
Amazon,ORD-000067,2025-03-03,PO-00067,USD,325.16,32.52,6.12,24.8,1997.28,1950.96,195.12,B001004,Used - Like New,6,Credit Card,Cancelled,Delivered,2025-03-11,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-9151,Sample Product,,,,,SP-039,SM-005
Amazon,ORD-000068,2025-03-11,PO-00068,USD,347.42,34.74,15.36,0.02,2292.84,2084.52,208.44,B005494,Used - Like New,6,PayPal,Pending,In Transit,2025-03-07,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-2 - Tracking-7638,Sample Product,,,,,SP-011,SM-002
Amazon,ORD-000069,2025-03-22,PO-00069,USD,257.17,25.72,15.98,41.38,724.53,771.51,77.16,B001305,New,3,PayPal,Pending,Pending,2025-03-14,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-5189,Sample Product,,,,,SP-005,SM-001
Amazon,ORD-000070,2025-03-06,PO-00070,USD,414.74,41.47,7.76,56.32,1999.45,2073.7,207.35,B005623,Used - Like New,5,PayPal,Shipped,Delivered,2025-03-08,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-6490,Sample Product,,,,,SP-011,SM-002
Amazon,ORD-000071,2025-03-24,PO-00071,USD,80.14,8.01,11.32,9.94,703.89,721.26,72.09,B003587,New,9,Gift Card,Shipped,Delivered,2025-03-23,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-7103,Sample Product,,,,,SP-029,SM-004
Amazon,ORD-000072,2025-03-13,PO-00072,USD,404.42,40.44,6.59,71.93,3729.3,4044.2,404.4,B003224,Refurbished,10,PayPal,Pending,Delivered,2025-03-21,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-6825,Sample Product,,,,,SP-038,SM-005
Amazon,ORD-000073,2025-03-20,PO-00073,USD,121.49,12.15,14.83,21.85,1117.9,1214.9,121.5,B009353,Used - Like New,10,Credit Card,Shipped,In Transit,2025-03-05,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-6 - Tracking-4676,Sample Product,,,,,SP-006,SM-001
Amazon,ORD-000074,2025-03-01,PO-00074,USD,67.11,6.71,11.38,5.85,679.7,671.1,67.1,B009843,Refurbished,10,Gift Card,Pending,Pending,2025-03-14,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-8848,Sample Product,,,,,SP-006,SM-001
Amazon,ORD-000075,2025-03-18,PO-00075,USD,298.19,29.82,11.7,54.1,1917.37,2087.33,208.74,B009910,Refurbished,7,PayPal,Shipped,Delivered,2025-03-15,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-9222,Sample Product,,,,,SP-029,SM-004
Amazon,ORD-000076,2025-03-24,PO-00076,USD,423.15,42.31,5.94,9.52,4559.4,4231.5,423.1,B007689,Used - Like New,10,PayPal,Pending,Pending,2025-03-05,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-3 - Tracking-5362,Sample Product,,,,,SP-039,SM-005
Amazon,ORD-000077,2025-03-15,PO-00077,USD,112.45,11.25,13.06,7.49,1045.89,1012.05,101.25,B008309,Refurbished,9,Credit Card,Shipped,Pending,2025-03-16,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-10 - Tracking-1525,Sample Product,,,,,SP-026,SM-003
Amazon,ORD-000078,2025-03-09,PO-00078,USD,150.63,15.06,13.94,13.85,455.52,451.89,45.18,B003505,Refurbished,3,Gift Card,Cancelled,In Transit,2025-03-27,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-6360,Sample Product,,,,,SP-008,SM-001
Amazon,ORD-000079,2025-03-08,PO-00079,USD,268.04,26.8,17.83,41.39,2534.5,2680.4,268.0,B002008,Refurbished,10,Credit Card,Shipped,Pending,2025-03-01,Standard,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-2179,Sample Product,,,,,SP-028,SM-004
Amazon,ORD-000080,2025-03-15,PO-00080,USD,336.58,33.66,17.92,66.75,2427.92,2692.64,269.28,B003125,Refurbished,8,Gift Card,Pending,In Transit,2025-03-14,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-4 - Tracking-2057,Sample Product,,,,,SP-033,SM-004
Amazon,ORD-000081,2025-03-06,PO-00081,USD,80.74,8.07,9.31,7.02,490.74,484.44,48.42,B003451,New,6,PayPal,Pending,In Transit,2025-03-05,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-8 - Tracking-5829,Sample Product,,,,,SP-028,SM-004
Amazon,ORD-000082,2025-03-24,PO-00082,USD,386.82,38.68,14.21,7.18,2091.6,1934.1,193.4,B003299,Refurbished,5,PayPal,Cancelled,Delivered,2025-03-20,Same Day,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-7 - Tracking-7184,Sample Product,,,,,SP-013,SM-002
Amazon,ORD-000083,2025-03-17,PO-00083,USD,489.09,48.91,19.6,84.07,3177.51,3423.63,342.37,B001701,Used - Like New,7,Gift Card,Shipped,Delivered,2025-03-13,Expedited,"123 Main St, City, State, ZIP","456 Billing St, City, State, ZIP",Carrier-1 - Tracking-9146,Sample Product,,,,,SP-037,SM-005
